state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,161,1
Alabama,Binders,139,2
Alabama,Accessories,84,3
Alabama,Furnishings,82,4
Alabama,Art,80,5
Alabama,Storage,74,6
Alabama,Phones,62,7
Alabama,Chairs,53,8
Alabama,Envelopes,49,9
Alabama,Tables,32,10
Alabama,Appliances,30,11
Alabama,Labels,23,12
Alabama,Supplies,23,12
Alabama,Machines,23,12
Alabama,Bookcases,21,15
Alabama,Fasteners,20,16
Alabama,Copiers,8,17
Arizona,Paper,500,1
Arizona,Binders,429,2
Arizona,Furnishings,397,3
Arizona,Phones,340,4
Arizona,Art,300,5
Arizona,Accessories,285,6
Arizona,Storage,259,7
Arizona,Appliances,208,8
Arizona,Chairs,178,9
Arizona,Labels,158,10
Arizona,Machines,121,11
Arizona,Envelopes,120,12
Arizona,Tables,114,13
Arizona,Bookcases,100,14
Arizona,Fasteners,61,15
Arizona,Supplies,56,16
Arizona,Copiers,31,17
Arkansas,Phones,63,1
Arkansas,Furnishings,62,2
Arkansas,Art,50,3
Arkansas,Paper,44,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Accessories,20,7
Arkansas,Labels,18,8
Arkansas,Fasteners,18,8
Arkansas,Appliances,16,10
Arkansas,Tables,15,11
Arkansas,Chairs,13,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,3681,1
California,Binders,2845,2
California,Phones,2479,3
California,Art,2351,4
California,Furnishings,2310,5
California,Accessories,1960,6
California,Storage,1746,7
California,Appliances,1436,8
California,Chairs,1180,9
California,Machines,1021,10
California,Labels,998,11
California,Envelopes,750,12
California,Bookcases,733,13
California,Tables,723,14
California,Supplies,568,15
California,Fasteners,531,16
California,Copiers,194,17
Colorado,Paper,463,1
Colorado,Binders,443,2
Colorado,Furnishings,320,3
Colorado,Phones,316,4
Colorado,Art,292,5
Colorado,Storage,262,6
Colorado,Accessories,229,7
Colorado,Appliances,161,8
Colorado,Chairs,149,9
Colorado,Machines,133,10
Colorado,Labels,130,11
Colorado,Bookcases,111,12
Colorado,Supplies,103,13
Colorado,Tables,99,14
Colorado,Envelopes,97,15
Colorado,Fasteners,46,16
Colorado,Copiers,10,17
Connecticut,Binders,99,1
Connecticut,Furnishings,91,2
Connecticut,Paper,89,3
Connecticut,Phones,81,4
Connecticut,Art,72,5
Connecticut,Accessories,70,6
Connecticut,Storage,50,7
Connecticut,Appliances,50,7
Connecticut,Labels,44,9
Connecticut,Machines,31,10
Connecticut,Chairs,28,11
Connecticut,Fasteners,23,12
Connecticut,Bookcases,22,13
Connecticut,Tables,19,14
Connecticut,Envelopes,16,15
Connecticut,Supplies,10,16
Connecticut,Copiers,2,17
Delaware,Storage,156,1
Delaware,Furnishings,153,2
Delaware,Paper,111,3
Delaware,Accessories,84,4
Delaware,Phones,84,4
Delaware,Machines,67,6
Delaware,Binders,66,7
Delaware,Chairs,61,8
Delaware,Appliances,60,9
Delaware,Art,49,10
Delaware,Labels,39,11
Delaware,Bookcases,37,12
Delaware,Supplies,28,13
Delaware,Envelopes,27,14
Delaware,Fasteners,19,15
Delaware,Tables,14,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Fasteners,7,5
District of Columbia,Art,7,5
District of Columbia,Phones,5,7
District of Columbia,Envelopes,3,8
District of Columbia,Chairs,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
Florida,Paper,770,1
Florida,Binders,570,2
Florida,Phones,466,3
Florida,Art,463,4
Florida,Furnishings,400,5
Florida,Accessories,381,6
Florida,Storage,331,7
Florida,Chairs,240,8
Florida,Appliances,230,9
Florida,Labels,197,10
Florida,Tables,171,11
Florida,Machines,137,12
Florida,Fasteners,121,13
Florida,Envelopes,109,14
Florida,Bookcases,96,15
Florida,Supplies,86,16
Florida,Copiers,25,17
Georgia,Paper,297,1
Georgia,Binders,269,2
Georgia,Phones,259,3
Georgia,Furnishings,226,4
Georgia,Art,155,5
Georgia,Appliances,146,6
Georgia,Chairs,121,7
Georgia,Storage,116,8
Georgia,Accessories,94,9
Georgia,Tables,86,10
Georgia,Bookcases,84,11
Georgia,Labels,65,12
Georgia,Machines,64,13
Georgia,Envelopes,38,14
Georgia,Supplies,38,14
Georgia,Fasteners,30,16
Georgia,Copiers,9,17
Illinois,Paper,883,1
Illinois,Binders,676,2
Illinois,Phones,646,3
Illinois,Furnishings,645,4
Illinois,Storage,432,5
Illinois,Art,431,6
Illinois,Accessories,430,7
Illinois,Appliances,368,8
Illinois,Chairs,353,9
Illinois,Machines,250,10
Illinois,Labels,212,11
Illinois,Tables,197,12
Illinois,Envelopes,185,13
Illinois,Bookcases,162,14
Illinois,Fasteners,119,15
Illinois,Supplies,114,16
Illinois,Copiers,34,17
Indiana,Paper,202,1
Indiana,Binders,170,2
Indiana,Furnishings,130,3
Indiana,Phones,127,4
Indiana,Accessories,126,5
Indiana,Art,126,5
Indiana,Storage,96,7
Indiana,Appliances,80,8
Indiana,Chairs,63,9
Indiana,Labels,58,10
Indiana,Bookcases,53,11
Indiana,Supplies,43,12
Indiana,Machines,33,13
Indiana,Envelopes,29,14
Indiana,Tables,20,15
Indiana,Fasteners,18,16
Indiana,Copiers,10,17
Iowa,Accessories,56,1
Iowa,Phones,46,2
Iowa,Paper,42,3
Iowa,Chairs,36,4
Iowa,Furnishings,27,5
Iowa,Machines,25,6
Iowa,Storage,24,7
Iowa,Art,22,8
Iowa,Binders,20,9
Iowa,Labels,11,10
Iowa,Appliances,7,11
Iowa,Fasteners,5,12
Iowa,Tables,5,12
Iowa,Supplies,3,14
Iowa,Envelopes,2,15
Kansas,Paper,78,1
Kansas,Art,61,2
Kansas,Chairs,44,3
Kansas,Phones,34,4
Kansas,Accessories,26,5
Kansas,Binders,23,6
Kansas,Fasteners,23,6
Kansas,Furnishings,20,8
Kansas,Appliances,17,9
Kansas,Labels,14,10
Kansas,Tables,14,10
Kansas,Storage,12,12
Kansas,Machines,12,12
Kansas,Supplies,9,14
Kansas,Bookcases,8,15
Kansas,Copiers,2,16
Kentucky,Paper,381,1
Kentucky,Binders,245,2
Kentucky,Phones,242,3
Kentucky,Art,233,4
Kentucky,Furnishings,218,5
Kentucky,Appliances,192,6
Kentucky,Storage,162,7
Kentucky,Accessories,145,8
Kentucky,Chairs,123,9
