segment,month_name,total_sales,total_profit
Corporate,Oct,278168.0,48714.0
Home Office,Jul,145236.0,26034.0
Consumer,Jul,389791.0,70323.0
Corporate,Mar,252034.0,42625.0
Consumer,Nov,363119.0,62618.0
Home Office,Aug,133341.0,23240.0
Consumer,Aug,417490.0,76076.0
Corporate,Aug,239588.0,41350.0
Home Office,Apr,135195.0,23434.0
Consumer,Jun,391244.0,69887.0
Consumer,May,418685.0,74366.0
Home Office,Sep,119616.0,21396.0
Corporate,Jul,219179.0,40178.0
Corporate,Dec,289599.0,50639.0
Corporate,May,271791.0,47224.0
Corporate,Apr,262390.0,44387.0
Home Office,May,140959.0,25732.0
Home Office,Jan,145420.0,26978.0
Home Office,Jun,124577.0,22987.0
Consumer,Sep,416742.0,72181.0
Home Office,Mar,164565.0,26241.0
Consumer,Apr,429081.0,76308.0
Home Office,Nov,149911.0,26108.0
Home Office,Oct,171529.0,29993.0
Consumer,Dec,452166.0,81267.0
Corporate,Nov,282258.0,46515.0
Corporate,Sep,244930.0,43837.0
Corporate,Feb,248947.0,41013.0
Home Office,Feb,126839.0,22762.0
Consumer,Mar,467034.0,83746.0
Consumer,Oct,446453.0,79348.0
Corporate,Jan,299840.0,50273.0
Consumer,Jan,387407.0,68819.0
Corporate,Jun,241295.0,43533.0
Home Office,Dec,158402.0,26050.0
Consumer,Feb,370132.0,68452.0
