state,total_sales,total_customers
Alabama,63520.0,33
Arizona,337458.0,108
Arkansas,55819.0,6
California,2276212.0,643
Colorado,260535.0,73
Connecticut,81301.0,22
Delaware,85425.0,23
District of Columbia,6729.0,2
Florida,429344.0,104
Georgia,158198.0,74
Illinois,516584.0,165
Indiana,133471.0,40
Iowa,27185.0,15
Kansas,36327.0,4
Kentucky,289232.0,51
Louisiana,59927.0,26
Maryland,39618.0,13
Massachusetts,151498.0,46
Michigan,234447.0,58
Minnesota,188789.0,43
Mississippi,63487.0,18
Missouri,75360.0,26
Nebraska,4094.0,6
Nevada,18341.0,14
New Hampshire,26751.0,10
New Jersey,187629.0,47
New Mexico,8979.0,12
New York,1173440.0,349
North Carolina,339429.0,119
Ohio,558649.0,158
Oklahoma,44490.0,12
Oregon,37626.0,7
Pennsylvania,633421.0,190
Rhode Island,58870.0,15
South Dakota,4821.0,5
Tennessee,179955.0,56
Texas,1132781.0,328
Utah,82362.0,26
Virginia,244996.0,64
Washington,541619.0,168
Wisconsin,85551.0,33
