state,total_sales,total_customers
Alabama,51667.0,17
Arizona,303020.0,66
Arkansas,54031.0,4
California,2094974.0,445
Colorado,239447.0,49
Connecticut,79529.0,18
Delaware,76036.0,14
District of Columbia,5512.0,1
Florida,391865.0,76
Georgia,134853.0,48
Illinois,459342.0,111
Indiana,122645.0,26
Iowa,21472.0,10
Kansas,36327.0,4
Kentucky,251899.0,36
Louisiana,56118.0,23
Maryland,36618.0,8
Massachusetts,126750.0,28
Michigan,212274.0,41
Minnesota,165151.0,24
Mississippi,59791.0,11
Missouri,67416.0,21
Nebraska,1886.0,3
Nevada,16288.0,11
New Hampshire,24735.0,6
New Jersey,172049.0,33
New Mexico,5662.0,8
New York,1049447.0,232
North Carolina,299143.0,75
Ohio,520162.0,115
Oklahoma,40230.0,8
Oregon,35846.0,5
Pennsylvania,568278.0,122
Rhode Island,55437.0,8
South Dakota,2397.0,4
Tennessee,164007.0,38
Texas,1010257.0,199
Utah,62786.0,16
Virginia,230076.0,49
Washington,466560.0,117
Wisconsin,69385.0,23
