category,month,total_sales,total_profit
Furniture,Sep,166496.0,27545.0
Furniture,Oct,158891.0,29733.0
Furniture,Mar,194173.0,35845.0
Office Supplies,Feb,433582.0,76240.0
Technology,Jul,158669.0,27982.0
Office Supplies,Dec,490748.0,84864.0
Furniture,Aug,154427.0,27794.0
Office Supplies,Jul,409192.0,75269.0
Office Supplies,Jun,383123.0,69138.0
Technology,Sep,136617.0,24793.0
Technology,Dec,181779.0,31522.0
Technology,Jun,176434.0,32304.0
Office Supplies,Jan,457147.0,80410.0
Technology,Aug,157574.0,27435.0
Technology,Oct,195932.0,32254.0
Technology,Jan,160223.0,29674.0
Office Supplies,Mar,462905.0,76767.0
Office Supplies,Aug,414564.0,74105.0
Office Supplies,Sep,403862.0,70544.0
Office Supplies,Oct,465516.0,81079.0
Furniture,Nov,154190.0,25828.0
Office Supplies,Nov,409234.0,68572.0
Technology,May,155615.0,25956.0
Furniture,Feb,123715.0,23361.0
Office Supplies,Apr,401277.0,69679.0
Furniture,Jan,148608.0,25904.0
Furniture,Jun,114403.0,19731.0
Technology,Nov,179316.0,31213.0
Technology,Mar,141118.0,24259.0
Technology,Feb,137967.0,23181.0
Furniture,Apr,160719.0,28046.0
Technology,Apr,179231.0,30050.0
Furniture,Dec,156290.0,28168.0
Office Supplies,May,450250.0,80418.0
Furniture,Jul,125172.0,22004.0
Furniture,May,150044.0,28241.0
