segment,month_name,total_sales,total_profit
Corporate,Oct,365113.0,63435.0
Home Office,Jul,228241.0,42208.0
Consumer,Jul,543286.0,95180.0
Corporate,Mar,313349.0,53274.0
Consumer,Nov,518643.0,88767.0
Home Office,Aug,195512.0,35388.0
Consumer,Aug,564590.0,100867.0
Corporate,Aug,319093.0,54988.0
Home Office,Apr,207824.0,36184.0
Consumer,Jun,539218.0,97084.0
Consumer,May,598594.0,106198.0
Home Office,Sep,186410.0,32675.0
Corporate,Jul,309899.0,55473.0
Corporate,Dec,397694.0,68763.0
Corporate,May,347914.0,61886.0
Corporate,Apr,362405.0,62322.0
Home Office,May,211746.0,38744.0
Home Office,Jan,204568.0,37788.0
Home Office,Jun,184333.0,33974.0
Consumer,Sep,563143.0,99896.0
Home Office,Mar,228129.0,37928.0
Consumer,Apr,610743.0,107381.0
Home Office,Nov,201100.0,35317.0
Home Office,Oct,224556.0,39691.0
Consumer,Dec,641496.0,115868.0
Corporate,Nov,372365.0,64015.0
Corporate,Sep,321561.0,57528.0
Corporate,Feb,326194.0,53930.0
Home Office,Feb,178067.0,32417.0
Consumer,Mar,617287.0,109299.0
Consumer,Oct,602301.0,106142.0
Corporate,Jan,424280.0,71443.0
Consumer,Jan,537520.0,94551.0
Corporate,Jun,344423.0,62401.0
Home Office,Dec,220964.0,37991.0
Consumer,Feb,518733.0,94667.0
