category,month,total_sales,total_profit
Furniture,Sep,175035.0,29145.0
Furniture,Oct,168749.0,31414.0
Furniture,Mar,202952.0,37561.0
Office Supplies,Feb,466026.0,82243.0
Technology,Jul,168557.0,29628.0
Office Supplies,Dec,523393.0,90859.0
Furniture,Aug,164022.0,29437.0
Office Supplies,Jul,445928.0,82385.0
Office Supplies,Jun,427476.0,78672.0
Technology,Sep,148032.0,26605.0
Technology,Dec,193555.0,33547.0
Technology,Jun,183717.0,33557.0
Office Supplies,Jan,493169.0,85428.0
Technology,Aug,169047.0,29533.0
Technology,Oct,213084.0,35465.0
Technology,Jan,169974.0,31229.0
Office Supplies,Mar,512708.0,85698.0
Office Supplies,Aug,448235.0,80199.0
Office Supplies,Sep,452459.0,80873.0
Office Supplies,Oct,512375.0,90904.0
Furniture,Nov,161658.0,27440.0
Office Supplies,Nov,429399.0,72106.0
Technology,May,165374.0,27658.0
Furniture,Feb,131107.0,24787.0
Office Supplies,Apr,451984.0,80141.0
Furniture,Jan,160457.0,27872.0
Furniture,Jun,141009.0,23162.0
Technology,Nov,191540.0,33496.0
Technology,Mar,153889.0,25975.0
Technology,Feb,145368.0,24591.0
Furniture,Apr,168582.0,29481.0
Technology,Apr,200809.0,33707.0
Furniture,Dec,164220.0,29447.0
Office Supplies,May,490703.0,87679.0
Furniture,Jul,136203.0,23795.0
Furniture,May,161846.0,30170.0
