category,month,total_sales,total_profit
Furniture,Sep,251520.0,43467.0
Furniture,Oct,232886.0,41999.0
Furniture,Mar,276077.0,50550.0
Office Supplies,Feb,648941.0,115372.0
Technology,Jul,255769.0,43931.0
Office Supplies,Dec,725445.0,126299.0
Furniture,Aug,232549.0,42384.0
Office Supplies,Jul,655425.0,118601.0
Office Supplies,Jun,637606.0,116651.0
Technology,Sep,226758.0,40930.0
Technology,Dec,304279.0,54350.0
Technology,Jun,257382.0,47018.0
Office Supplies,Jan,729071.0,126745.0
Technology,Aug,233902.0,41219.0
Technology,Oct,285240.0,49232.0
Technology,Jan,248995.0,44348.0
Office Supplies,Mar,714556.0,120785.0
Office Supplies,Aug,650195.0,114373.0
Office Supplies,Sep,633413.0,112419.0
Office Supplies,Oct,716163.0,125948.0
Furniture,Nov,217123.0,37424.0
Office Supplies,Nov,670516.0,113813.0
Technology,May,233551.0,39845.0
Furniture,Feb,200884.0,37643.0
Office Supplies,Apr,676931.0,118815.0
Furniture,Jan,227378.0,39967.0
Furniture,Jun,214433.0,37365.0
Technology,Nov,266075.0,47698.0
Technology,Mar,208128.0,36046.0
Technology,Feb,215166.0,35207.0
Furniture,Apr,240249.0,42777.0
Technology,Apr,309625.0,52698.0
Furniture,Dec,266473.0,48443.0
Office Supplies,May,745313.0,133465.0
Furniture,Jul,214637.0,36641.0
Furniture,May,227271.0,41905.0
