state,total_sales,total_customers
Alabama,55660.0,24
Arizona,317841.0,84
Arkansas,55819.0,6
California,2181727.0,528
Colorado,252471.0,61
Connecticut,80279.0,19
Delaware,79057.0,17
District of Columbia,6729.0,2
Florida,401752.0,85
Georgia,147986.0,64
Illinois,485260.0,133
Indiana,127914.0,33
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,266804.0,41
Louisiana,58059.0,25
Maryland,37983.0,11
Massachusetts,131026.0,35
Michigan,224020.0,49
Minnesota,175075.0,34
Mississippi,61710.0,14
Missouri,71272.0,24
Nebraska,3271.0,5
Nevada,17404.0,13
New Hampshire,26340.0,9
New Jersey,176563.0,38
New Mexico,5662.0,8
New York,1091622.0,286
North Carolina,315121.0,95
Ohio,540915.0,137
Oklahoma,40550.0,9
Oregon,35846.0,5
Pennsylvania,599435.0,154
Rhode Island,58340.0,13
South Dakota,2397.0,4
Tennessee,171386.0,46
Texas,1072651.0,261
Utah,65909.0,20
Virginia,239015.0,57
Washington,503604.0,142
Wisconsin,83634.0,30
