region,month_name,total_sales
South,Mar,194103.0
South,Jan,177072.0
East,Apr,300256.0
East,Nov,271248.0
Central,May,216503.0
East,Mar,279865.0
Central,Oct,204854.0
South,Nov,174742.0
Central,Apr,219777.0
South,Jul,122251.0
Central,Mar,236034.0
East,Jan,285349.0
West,Apr,297561.0
East,Sep,246573.0
South,Sep,173970.0
West,Aug,247783.0
Central,Nov,197844.0
South,Feb,171714.0
West,Mar,279358.0
South,Dec,189608.0
East,Feb,262860.0
West,Dec,341347.0
West,Sep,281469.0
Central,Sep,203059.0
South,Aug,168581.0
East,Jun,257967.0
West,Jan,307478.0
South,Apr,165107.0
Central,Dec,222449.0
West,Oct,280659.0
Central,Jun,207798.0
Central,Aug,223426.0
East,Oct,337097.0
West,Jun,288354.0
West,Jul,291884.0
West,Nov,288301.0
East,Dec,299934.0
South,Jun,159467.0
East,Jul,274137.0
East,May,284855.0
South,Oct,204449.0
Central,Jul,223283.0
Central,Jan,210035.0
East,Aug,262651.0
Central,Feb,227143.0
South,May,195128.0
West,May,278009.0
West,Feb,198144.0
