region,month_name,total_sales
South,Mar,151654.0
Central,Sep,151210.0
South,Aug,131819.0
South,Jan,134529.0
East,Jun,172520.0
West,Jan,229379.0
South,Apr,114206.0
East,Apr,207807.0
East,Nov,207077.0
Central,Dec,162350.0
West,Oct,221755.0
Central,May,177985.0
Central,Jun,153697.0
East,Mar,199976.0
Central,Aug,163220.0
East,Oct,251894.0
Central,Oct,163071.0
South,Nov,132860.0
West,Jun,193856.0
Central,Apr,178811.0
South,Jul,95553.0
West,Jul,209926.0
West,Nov,223882.0
Central,Mar,203270.0
East,Jan,220319.0
West,Apr,209547.0
East,Sep,186595.0
East,Dec,220925.0
South,Jun,119680.0
East,Jul,184155.0
East,May,201655.0
South,Sep,132765.0
West,Aug,192378.0
South,Oct,155892.0
Central,Jul,167674.0
Central,Jan,155737.0
East,Aug,205445.0
Central,Nov,153658.0
South,Feb,145713.0
West,Mar,210643.0
Central,Feb,163374.0
South,Dec,154403.0
East,Feb,201451.0
South,May,152524.0
West,Dec,265526.0
West,Sep,187757.0
West,May,193096.0
West,Feb,155878.0
