state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,139,1
Alabama,Binders,125,2
Alabama,Furnishings,76,3
Alabama,Accessories,67,4
Alabama,Storage,58,5
Alabama,Art,52,6
Alabama,Phones,48,7
Alabama,Chairs,44,8
Alabama,Envelopes,36,9
Alabama,Appliances,30,10
Alabama,Tables,28,11
Alabama,Labels,18,12
Alabama,Supplies,18,12
Alabama,Bookcases,16,14
Alabama,Machines,11,15
Alabama,Fasteners,11,15
Alabama,Copiers,8,17
Arizona,Paper,429,1
Arizona,Binders,383,2
Arizona,Furnishings,350,3
Arizona,Phones,295,4
Arizona,Art,263,5
Arizona,Accessories,249,6
Arizona,Storage,227,7
Arizona,Appliances,170,8
Arizona,Chairs,155,9
Arizona,Labels,150,10
Arizona,Envelopes,105,11
Arizona,Machines,102,12
Arizona,Bookcases,98,13
Arizona,Tables,94,14
Arizona,Fasteners,50,15
Arizona,Supplies,48,16
Arizona,Copiers,25,17
Arkansas,Furnishings,57,1
Arkansas,Art,50,2
Arkansas,Phones,49,3
Arkansas,Paper,44,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Accessories,20,7
Arkansas,Labels,18,8
Arkansas,Fasteners,18,8
Arkansas,Appliances,16,10
Arkansas,Tables,15,11
Arkansas,Chairs,13,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,3098,1
California,Binders,2457,2
California,Phones,2206,3
California,Furnishings,2037,4
California,Art,2035,5
California,Accessories,1740,6
California,Storage,1525,7
California,Appliances,1217,8
California,Chairs,1040,9
California,Machines,888,10
California,Labels,875,11
California,Bookcases,662,12
California,Envelopes,658,13
California,Tables,640,14
California,Supplies,498,15
California,Fasteners,429,16
California,Copiers,140,17
Colorado,Paper,390,1
Colorado,Binders,386,2
Colorado,Furnishings,281,3
Colorado,Phones,255,4
Colorado,Art,244,5
Colorado,Storage,221,6
Colorado,Accessories,186,7
Colorado,Appliances,140,8
Colorado,Chairs,130,9
Colorado,Machines,129,10
Colorado,Labels,105,11
Colorado,Bookcases,95,12
Colorado,Envelopes,93,13
Colorado,Supplies,91,14
Colorado,Tables,86,15
Colorado,Fasteners,44,16
Colorado,Copiers,10,17
Connecticut,Binders,95,1
Connecticut,Furnishings,91,2
Connecticut,Phones,79,3
Connecticut,Paper,73,4
Connecticut,Accessories,67,5
Connecticut,Art,64,6
Connecticut,Storage,48,7
Connecticut,Appliances,48,7
Connecticut,Labels,44,9
Connecticut,Chairs,27,10
Connecticut,Machines,27,10
Connecticut,Fasteners,23,12
Connecticut,Bookcases,21,13
Connecticut,Tables,19,14
Connecticut,Envelopes,11,15
Connecticut,Supplies,10,16
Connecticut,Copiers,2,17
Delaware,Furnishings,135,1
Delaware,Storage,133,2
Delaware,Paper,109,3
Delaware,Accessories,80,4
Delaware,Phones,70,5
Delaware,Binders,59,6
Delaware,Chairs,57,7
Delaware,Machines,53,8
Delaware,Appliances,52,9
Delaware,Art,46,10
Delaware,Labels,32,11
Delaware,Supplies,28,12
Delaware,Envelopes,27,13
Delaware,Bookcases,20,14
Delaware,Fasteners,16,15
Delaware,Tables,14,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Fasteners,7,5
District of Columbia,Art,7,5
District of Columbia,Phones,5,7
District of Columbia,Chairs,3,8
District of Columbia,Envelopes,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
Florida,Paper,689,1
Florida,Binders,520,2
Florida,Art,440,3
Florida,Phones,428,4
Florida,Furnishings,397,5
Florida,Accessories,341,6
Florida,Storage,287,7
Florida,Appliances,226,8
Florida,Chairs,209,9
Florida,Labels,193,10
Florida,Tables,156,11
Florida,Machines,133,12
Florida,Fasteners,115,13
Florida,Envelopes,103,14
Florida,Supplies,86,15
Florida,Bookcases,78,16
Florida,Copiers,18,17
Georgia,Paper,256,1
Georgia,Phones,255,2
Georgia,Binders,241,3
Georgia,Furnishings,183,4
Georgia,Art,143,5
Georgia,Storage,108,6
Georgia,Appliances,101,7
Georgia,Chairs,91,8
Georgia,Accessories,82,9
Georgia,Bookcases,79,10
Georgia,Tables,68,11
Georgia,Machines,57,12
Georgia,Labels,50,13
Georgia,Envelopes,38,14
Georgia,Supplies,34,15
Georgia,Fasteners,28,16
Georgia,Copiers,9,17
Illinois,Paper,726,1
Illinois,Binders,573,2
Illinois,Furnishings,567,3
Illinois,Phones,539,4
Illinois,Accessories,368,5
Illinois,Art,365,6
Illinois,Storage,350,7
Illinois,Chairs,300,8
Illinois,Appliances,274,9
Illinois,Machines,206,10
Illinois,Labels,172,11
Illinois,Envelopes,143,12
Illinois,Bookcases,140,13
Illinois,Tables,139,14
Illinois,Supplies,110,15
Illinois,Fasteners,109,16
Illinois,Copiers,27,17
Indiana,Paper,178,1
Indiana,Binders,155,2
Indiana,Accessories,121,3
Indiana,Phones,115,4
Indiana,Art,110,5
Indiana,Furnishings,104,6
Indiana,Storage,85,7
Indiana,Appliances,67,8
Indiana,Chairs,59,9
Indiana,Labels,58,10
Indiana,Bookcases,36,11
Indiana,Supplies,35,12
Indiana,Machines,33,13
Indiana,Envelopes,25,14
Indiana,Tables,19,15
Indiana,Fasteners,11,16
Indiana,Copiers,10,17
Iowa,Accessories,45,1
Iowa,Phones,43,2
Iowa,Paper,42,3
Iowa,Chairs,36,4
Iowa,Machines,25,5
Iowa,Art,22,6
Iowa,Furnishings,21,7
Iowa,Storage,21,7
Iowa,Binders,20,9
Iowa,Appliances,7,10
Iowa,Labels,6,11
Iowa,Fasteners,5,12
Iowa,Tables,5,12
Iowa,Supplies,3,14
Iowa,Envelopes,2,15
Kansas,Paper,78,1
Kansas,Art,61,2
Kansas,Chairs,44,3
Kansas,Phones,34,4
Kansas,Accessories,24,5
Kansas,Fasteners,23,6
Kansas,Binders,18,7
Kansas,Furnishings,15,8
Kansas,Tables,14,9
Kansas,Labels,14,9
Kansas,Appliances,9,11
Kansas,Storage,9,11
Kansas,Supplies,9,11
Kansas,Machines,8,14
Kansas,Bookcases,8,14
Kansas,Copiers,2,16
Kentucky,Paper,344,1
Kentucky,Binders,221,2
Kentucky,Phones,216,3
Kentucky,Art,216,3
Kentucky,Furnishings,202,5
Kentucky,Appliances,161,6
Kentucky,Storage,144,7
Kentucky,Accessories,141,8
Kentucky,Chairs,119,9
Kentucky,Labels,76,10
Kentucky,Machines,69,11
Kentucky,Fasteners,66,12
Kentucky,Envelopes,60,13
Kentucky,Bookcases,60,13
Kentucky,Tables,41,15
Kentucky,Supplies,37,16
Kentucky,Copiers,17,17
Louisiana,Art,100,1
Louisiana,Binders,94,2
Louisiana,Paper,87,3
Louisiana,Phones,77,4
Louisiana,Accessories,54,5
Louisiana,Chairs,49,6
Louisiana,Storage,49,6
Louisiana,Furnishings,43,8
Louisiana,Envelopes,25,9
Louisiana,Appliances,24,10
Louisiana,Fasteners,22,11
Louisiana,Labels,19,12
Louisiana,Machines,15,13
Louisiana,Tables,14,14
Louisiana,Bookcases,12,15
Louisiana,Supplies,10,16
Maryland,Phones,76,1
Maryland,Storage,52,2
Maryland,Furnishings,42,3
Maryland,Binders,25,4
Maryland,Paper,19,5
Maryland,Appliances,17,6
Maryland,Fasteners,17,6
Maryland,Supplies,16,8
Maryland,Art,15,9
Maryland,Accessories,15,9
Maryland,Labels,14,11
Maryland,Tables,13,12
Maryland,Bookcases,10,13
Maryland,Machines,9,14
Maryland,Chairs,7,15
Maryland,Copiers,6,16
Maryland,Envelopes,3,17
Massachusetts,Paper,201,1
Massachusetts,Binders,186,2
Massachusetts,Phones,163,3
Massachusetts,Furnishings,161,4
Massachusetts,Art,147,5
Massachusetts,Accessories,110,6
Massachusetts,Labels,91,7
Massachusetts,Storage,89,8
Massachusetts,Appliances,85,9
Massachusetts,Tables,73,10
Massachusetts,Chairs,63,11
Massachusetts,Fasteners,58,12
Massachusetts,Envelopes,52,13
Massachusetts,Machines,51,14
Massachusetts,Bookcases,41,15
Massachusetts,Supplies,21,16
Massachusetts,Copiers,14,17
Michigan,Phones,259,1
Michigan,Paper,252,2
Michigan,Storage,218,3
Michigan,Art,213,4
Michigan,Binders,205,5
Michigan,Furnishings,197,6
Michigan,Accessories,168,7
Michigan,Appliances,102,8
Michigan,Labels,98,9
Michigan,Chairs,87,10
Michigan,Bookcases,83,11
Michigan,Tables,73,12
Michigan,Machines,60,13
Michigan,Envelopes,46,14
Michigan,Supplies,34,15
Michigan,Fasteners,25,16
Michigan,Copiers,21,17
Minnesota,Binders,215,1
Minnesota,Paper,202,2
Minnesota,Phones,199,3
Minnesota,Storage,147,4
Minnesota,Furnishings,134,5
Minnesota,Appliances,130,6
Minnesota,Accessories,123,7
Minnesota,Art,121,8
Minnesota,Envelopes,89,9
Minnesota,Bookcases,80,10
Minnesota,Tables,79,11
Minnesota,Chairs,76,12
Minnesota,Labels,62,13
Minnesota,Machines,52,14
Minnesota,Fasteners,42,15
Minnesota,Supplies,6,16
Mississippi,Paper,132,1
Mississippi,Furnishings,79,2
Mississippi,Accessories,77,3
Mississippi,Binders,68,4
Mississippi,Phones,64,5
Mississippi,Storage,49,6
Mississippi,Art,49,6
Mississippi,Bookcases,38,8
Mississippi,Machines,28,9
Mississippi,Chairs,22,10
Mississippi,Labels,22,10
Mississippi,Supplies,20,12
Mississippi,Appliances,19,13
Mississippi,Tables,19,13
Mississippi,Envelopes,11,15
Mississippi,Fasteners,10,16
Mississippi,Copiers,5,17
Missouri,Binders,126,1
Missouri,Furnishings,109,2
Missouri,Accessories,95,3
Missouri,Paper,89,4
Missouri,Phones,71,5
Missouri,Storage,69,6
Missouri,Chairs,43,7
Missouri,Tables,38,8
Missouri,Appliances,31,9
Missouri,Machines,31,9
Missouri,Art,30,11
Missouri,Supplies,20,12
Missouri,Envelopes,18,13
Missouri,Labels,15,14
Missouri,Fasteners,14,15
Missouri,Copiers,7,16
Missouri,Bookcases,6,17
Nebraska,Paper,24,1
Nebraska,Chairs,16,2
Nebraska,Accessories,11,3
Nebraska,Phones,10,4
Nebraska,Machines,9,5
Nebraska,Binders,6,6
Nebraska,Appliances,5,7
Nebraska,Art,4,8
Nebraska,Bookcases,3,9
Nevada,Paper,68,1
Nevada,Phones,50,2
Nevada,Furnishings,32,3
Nevada,Chairs,26,4
Nevada,Binders,19,5
Nevada,Storage,18,6
Nevada,Appliances,17,7
Nevada,Art,12,8
Nevada,Accessories,11,9
Nevada,Labels,6,10
Nevada,Fasteners,5,11
Nevada,Bookcases,3,12
Nevada,Supplies,3,12
Nevada,Machines,2,14
Nevada,Tables,1,15
Nevada,Envelopes,1,15
New Hampshire,Paper,52,1
New Hampshire,Art,48,2
New Hampshire,Phones,38,3
New Hampshire,Chairs,34,4
New Hampshire,Binders,31,5
New Hampshire,Storage,29,6
New Hampshire,Furnishings,23,7
New Hampshire,Accessories,18,8
New Hampshire,Appliances,15,9
New Hampshire,Fasteners,13,10
New Hampshire,Bookcases,12,11
New Hampshire,Supplies,12,11
New Hampshire,Envelopes,11,13
New Hampshire,Machines,11,13
