segment,month_name,total_sales,total_profit
Corporate,Oct,283398.0,49460.0
Home Office,Jul,161575.0,29390.0
Consumer,Jul,403392.0,72514.0
Corporate,Mar,256992.0,43404.0
Consumer,Nov,381117.0,66474.0
Home Office,Aug,137071.0,23886.0
Consumer,Aug,426591.0,77683.0
Corporate,Aug,246458.0,42554.0
Home Office,Apr,140538.0,24463.0
Consumer,Jun,405342.0,72310.0
Consumer,May,427781.0,75789.0
Home Office,Sep,122695.0,21931.0
Corporate,Jul,230409.0,42008.0
Corporate,Dec,299197.0,52128.0
Corporate,May,280091.0,48925.0
Corporate,Apr,276697.0,47088.0
Home Office,May,144993.0,26488.0
Home Office,Jan,149909.0,27754.0
Home Office,Jun,128835.0,23737.0
Consumer,Sep,432653.0,74937.0
Home Office,Mar,167971.0,26847.0
Consumer,Apr,438559.0,78048.0
Home Office,Nov,153591.0,26796.0
Home Office,Oct,173516.0,30345.0
Consumer,Dec,463010.0,83223.0
Corporate,Nov,289430.0,47767.0
Corporate,Sep,250769.0,44976.0
Corporate,Feb,254554.0,41958.0
Home Office,Feb,130975.0,23495.0
Consumer,Mar,478199.0,85692.0
Consumer,Oct,459703.0,81737.0
Corporate,Jan,318022.0,53546.0
Consumer,Jan,403445.0,71454.0
Corporate,Jun,261922.0,47132.0
Home Office,Dec,160165.0,26266.0
Consumer,Feb,379005.0,69853.0
