state,total_sales,total_customers
Alabama,95974.0,71
Arizona,449684.0,194
Arkansas,62126.0,13
California,2948512.0,1286
Colorado,358620.0,154
Connecticut,105950.0,48
Delaware,113757.0,53
District of Columbia,7876.0,4
Florida,516837.0,200
Georgia,246312.0,140
Illinois,751670.0,333
Indiana,174810.0,77
Iowa,34838.0,27
Kansas,40053.0,8
Kentucky,346688.0,94
Louisiana,81802.0,49
Maryland,46921.0,24
Massachusetts,185304.0,84
Michigan,316250.0,125
Minnesota,267856.0,102
Mississippi,88202.0,44
Missouri,93977.0,49
Nebraska,8416.0,10
Nevada,29258.0,23
New Hampshire,32445.0,17
New Jersey,229953.0,88
New Mexico,17030.0,21
New York,1557365.0,680
North Carolina,450787.0,241
Ohio,695732.0,297
Oklahoma,66665.0,28
Oregon,55702.0,15
Pennsylvania,834600.0,399
Rhode Island,79685.0,31
South Dakota,19109.0,9
Tennessee,214752.0,93
Texas,1449325.0,604
Utah,101468.0,45
Virginia,290239.0,118
Washington,676660.0,307
Wisconsin,109486.0,60
