region,month_name,total_sales
South,Mar,183458.0
South,Jan,158199.0
East,Apr,256898.0
East,Nov,240833.0
Central,May,199742.0
East,Mar,249704.0
Central,Oct,185169.0
South,Nov,154751.0
Central,Apr,207646.0
South,Jul,108019.0
Central,Mar,223227.0
East,Jan,263645.0
West,Apr,266489.0
East,Sep,224126.0
South,Sep,159553.0
West,Aug,226253.0
Central,Nov,180964.0
South,Feb,158999.0
West,Mar,254722.0
South,Dec,178352.0
East,Feb,237762.0
West,Dec,297312.0
West,Sep,241567.0
Central,Sep,188099.0
South,Aug,152514.0
East,Jun,225532.0
West,Jan,269730.0
South,Apr,147187.0
Central,Dec,194894.0
West,Oct,254710.0
Central,Jun,182933.0
Central,Aug,201986.0
East,Oct,303740.0
West,Jun,262874.0
West,Jul,261496.0
West,Nov,257649.0
East,Dec,260287.0
South,Jun,143352.0
East,Jul,235399.0
East,May,251311.0
South,Oct,180457.0
Central,Jul,202505.0
Central,Jan,188152.0
East,Aug,240204.0
Central,Feb,198568.0
South,May,172605.0
West,May,240485.0
West,Feb,177223.0
