region,month_name,total_sales
South,Mar,196332.0
South,Jan,181762.0
East,Apr,304585.0
East,Nov,277667.0
Central,May,224679.0
East,Mar,284158.0
Central,Oct,210760.0
South,Nov,177365.0
Central,Apr,223821.0
South,Jul,125935.0
Central,Mar,250843.0
East,Jan,295777.0
West,Apr,312589.0
East,Sep,254039.0
South,Sep,177018.0
West,Aug,256798.0
Central,Nov,202517.0
South,Feb,173757.0
West,Mar,284039.0
South,Dec,194607.0
East,Feb,271345.0
West,Dec,368235.0
West,Sep,286592.0
Central,Sep,205874.0
South,Aug,171069.0
East,Jun,265337.0
West,Jan,318100.0
South,Apr,168686.0
Central,Dec,233613.0
West,Oct,291598.0
Central,Jun,210475.0
Central,Aug,240136.0
East,Oct,342120.0
West,Jun,293348.0
West,Jul,298849.0
West,Nov,293556.0
East,Dec,310961.0
South,Jun,171627.0
East,Jul,278822.0
East,May,293134.0
South,Oct,209436.0
Central,Jul,227794.0
Central,Jan,216542.0
East,Aug,265437.0
Central,Feb,232165.0
South,May,199085.0
West,May,283626.0
West,Feb,204601.0
