category,month,total_sales,total_profit
Furniture,Sep,168921.0,27926.0
Furniture,Oct,162178.0,30098.0
Furniture,Mar,197661.0,36562.0
Office Supplies,Feb,444729.0,78303.0
Technology,Jul,160875.0,28365.0
Office Supplies,Dec,497527.0,86278.0
Furniture,Aug,157269.0,28148.0
Office Supplies,Jul,423448.0,77883.0
Office Supplies,Jun,392368.0,70942.0
Technology,Sep,140353.0,25476.0
Technology,Dec,185854.0,32285.0
Technology,Jun,178544.0,32779.0
Office Supplies,Jan,462699.0,81405.0
Technology,Aug,161043.0,28199.0
Technology,Oct,199269.0,32905.0
Technology,Jan,165622.0,30542.0
Office Supplies,Mar,488291.0,81790.0
Office Supplies,Aug,421175.0,75568.0
Office Supplies,Sep,419810.0,74666.0
Office Supplies,Oct,489141.0,86682.0
Furniture,Nov,156907.0,26394.0
Office Supplies,Nov,414647.0,69596.0
Technology,May,158853.0,26490.0
Furniture,Feb,126560.0,23939.0
Office Supplies,Apr,414845.0,72122.0
Furniture,Jan,152942.0,26418.0
Furniture,Jun,128419.0,21168.0
Technology,Nov,182388.0,31663.0
Technology,Mar,144454.0,24807.0
Technology,Feb,140695.0,23734.0
Furniture,Apr,161944.0,28306.0
Technology,Apr,192635.0,32295.0
Furniture,Dec,157586.0,28312.0
Office Supplies,May,467352.0,83226.0
Furniture,Jul,127384.0,22429.0
Furniture,May,153249.0,28750.0
