region,month_name,total_sales
South,Mar,241104.0
South,Jan,218589.0
East,Apr,376765.0
East,Nov,335977.0
Central,May,274073.0
East,Mar,343429.0
Central,Oct,271423.0
South,Nov,229884.0
Central,Apr,286153.0
South,Jul,163993.0
Central,Mar,309446.0
East,Jan,361199.0
West,Apr,373935.0
East,Sep,322034.0
South,Sep,209412.0
West,Aug,322692.0
Central,Nov,260230.0
South,Feb,213228.0
West,Mar,354396.0
South,Dec,236982.0
East,Feb,364524.0
West,Dec,431280.0
West,Sep,363773.0
Central,Sep,254460.0
South,Aug,206567.0
East,Jun,315691.0
West,Jan,395726.0
South,Apr,227925.0
Central,Dec,291846.0
West,Oct,368658.0
Central,Jun,258388.0
Central,Aug,294963.0
East,Oct,410484.0
West,Jun,355198.0
West,Jul,364048.0
West,Nov,367908.0
East,Dec,375296.0
South,Jun,222190.0
East,Jul,361970.0
East,May,357561.0
South,Oct,251455.0
Central,Jul,289953.0
Central,Jan,286278.0
East,Aug,326232.0
Central,Feb,290363.0
South,May,247000.0
West,May,358788.0
West,Feb,273297.0
