state,total_sales,total_customers
Alabama,45566.0,9
Arizona,252715.0,34
Arkansas,53913.0,3
California,1855310.0,270
Colorado,226795.0,35
Connecticut,73556.0,11
Delaware,68683.0,7
District of Columbia,5512.0,1
Florida,369152.0,51
Georgia,113390.0,18
Illinois,420664.0,69
Indiana,115452.0,18
Iowa,13082.0,4
Kansas,36327.0,4
Kentucky,244612.0,28
Louisiana,46621.0,12
Maryland,21044.0,3
Massachusetts,116234.0,18
Michigan,190893.0,25
Minnesota,157497.0,17
Mississippi,56443.0,7
Missouri,58008.0,12
Nebraska,520.0,1
Nevada,13159.0,6
New Hampshire,23468.0,4
New Jersey,165247.0,23
New Mexico,759.0,2
New York,949712.0,145
North Carolina,259737.0,40
Ohio,472102.0,74
Oklahoma,36129.0,4
Oregon,34607.0,3
Pennsylvania,507727.0,75
Rhode Island,48370.0,4
Tennessee,145594.0,20
Texas,935526.0,114
Utah,55675.0,9
Virginia,209975.0,33
Washington,423667.0,67
Wisconsin,51285.0,11
