region,month_name,total_sales
South,Mar,196012.0
South,Jan,181142.0
East,Apr,303800.0
East,Nov,274436.0
Central,May,223276.0
East,Mar,282309.0
Central,Oct,207014.0
South,Nov,176420.0
Central,Apr,223734.0
South,Jul,124238.0
Central,Mar,248049.0
East,Jan,295094.0
West,Apr,310655.0
East,Sep,254039.0
South,Sep,175287.0
West,Aug,254294.0
Central,Nov,200847.0
South,Feb,173262.0
West,Mar,282113.0
South,Dec,192626.0
East,Feb,270679.0
West,Dec,357118.0
West,Sep,286163.0
Central,Sep,205163.0
South,Aug,170117.0
East,Jun,264239.0
West,Jan,315585.0
South,Apr,168075.0
Central,Dec,231583.0
West,Oct,291002.0
Central,Jun,210021.0
Central,Aug,237559.0
East,Oct,340877.0
West,Jun,293026.0
West,Jul,295642.0
West,Nov,290877.0
East,Dec,306965.0
South,Jun,161829.0
East,Jul,277286.0
East,May,291924.0
South,Oct,208376.0
Central,Jul,225852.0
Central,Jan,215736.0
East,Aug,264942.0
Central,Feb,229787.0
South,May,198658.0
West,May,282825.0
West,Feb,203874.0
