state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,144,1
Alabama,Binders,130,2
Alabama,Furnishings,78,3
Alabama,Accessories,67,4
Alabama,Storage,66,5
Alabama,Art,56,6
Alabama,Phones,51,7
Alabama,Chairs,44,8
Alabama,Envelopes,43,9
Alabama,Appliances,30,10
Alabama,Tables,28,11
Alabama,Supplies,23,12
Alabama,Bookcases,21,13
Alabama,Labels,18,14
Alabama,Fasteners,14,15
Alabama,Machines,11,16
Alabama,Copiers,8,17
Arizona,Paper,452,1
Arizona,Binders,389,2
Arizona,Furnishings,362,3
Arizona,Phones,298,4
Arizona,Art,273,5
Arizona,Accessories,260,6
Arizona,Storage,234,7
Arizona,Appliances,184,8
Arizona,Chairs,158,9
Arizona,Labels,154,10
Arizona,Envelopes,108,11
Arizona,Machines,105,12
Arizona,Bookcases,100,13
Arizona,Tables,98,14
Arizona,Supplies,51,15
Arizona,Fasteners,50,16
Arizona,Copiers,25,17
Arkansas,Furnishings,57,1
Arkansas,Phones,55,2
Arkansas,Art,50,3
Arkansas,Paper,44,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Accessories,20,7
Arkansas,Labels,18,8
Arkansas,Fasteners,18,8
Arkansas,Appliances,16,10
Arkansas,Tables,15,11
Arkansas,Chairs,13,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,3208,1
California,Binders,2539,2
California,Phones,2262,3
California,Art,2117,4
California,Furnishings,2101,5
California,Accessories,1817,6
California,Storage,1570,7
California,Appliances,1271,8
California,Chairs,1070,9
California,Machines,918,10
California,Labels,911,11
California,Bookcases,680,12
California,Envelopes,671,13
California,Tables,663,14
California,Supplies,518,15
California,Fasteners,442,16
California,Copiers,145,17
Colorado,Paper,404,1
Colorado,Binders,402,2
Colorado,Furnishings,284,3
Colorado,Phones,263,4
Colorado,Art,259,5
Colorado,Storage,226,6
Colorado,Accessories,200,7
Colorado,Appliances,148,8
Colorado,Machines,132,9
Colorado,Chairs,130,10
Colorado,Labels,108,11
Colorado,Bookcases,99,12
Colorado,Envelopes,93,13
Colorado,Supplies,91,14
Colorado,Tables,86,15
Colorado,Fasteners,44,16
Colorado,Copiers,10,17
Connecticut,Binders,95,1
Connecticut,Furnishings,91,2
Connecticut,Phones,79,3
Connecticut,Paper,73,4
Connecticut,Accessories,68,5
Connecticut,Art,64,6
Connecticut,Storage,48,7
Connecticut,Appliances,48,7
Connecticut,Labels,44,9
Connecticut,Chairs,27,10
Connecticut,Machines,27,10
Connecticut,Fasteners,23,12
Connecticut,Bookcases,22,13
Connecticut,Tables,19,14
Connecticut,Envelopes,11,15
Connecticut,Supplies,10,16
Connecticut,Copiers,2,17
Delaware,Furnishings,148,1
Delaware,Storage,137,2
Delaware,Paper,109,3
Delaware,Accessories,84,4
Delaware,Phones,70,5
Delaware,Binders,60,6
Delaware,Chairs,57,7
Delaware,Machines,56,8
Delaware,Appliances,52,9
Delaware,Art,46,10
Delaware,Labels,32,11
Delaware,Supplies,28,12
Delaware,Envelopes,27,13
Delaware,Bookcases,20,14
Delaware,Fasteners,16,15
Delaware,Tables,14,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Fasteners,7,5
District of Columbia,Art,7,5
District of Columbia,Phones,5,7
District of Columbia,Chairs,3,8
District of Columbia,Envelopes,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
