category,month,total_sales,total_profit
Furniture,Sep,203306.0,34359.0
Furniture,Oct,195443.0,35840.0
Furniture,Mar,239366.0,43652.0
Office Supplies,Feb,543921.0,95764.0
Technology,Jul,201787.0,35234.0
Office Supplies,Dec,606057.0,105420.0
Furniture,Aug,195409.0,35368.0
Office Supplies,Jul,545756.0,99735.0
Office Supplies,Jun,526778.0,96300.0
Technology,Sep,184312.0,33537.0
Technology,Dec,262931.0,47096.0
Technology,Jun,217286.0,39865.0
Office Supplies,Jan,618246.0,106686.0
Technology,Aug,197759.0,34458.0
Technology,Oct,244498.0,41879.0
Technology,Jan,205445.0,37278.0
Office Supplies,Mar,591997.0,99675.0
Office Supplies,Aug,533744.0,94169.0
Office Supplies,Sep,533034.0,94503.0
Office Supplies,Oct,607328.0,107239.0
Furniture,Nov,185394.0,31672.0
Office Supplies,Nov,529347.0,91025.0
Technology,May,196685.0,32900.0
Furniture,Feb,159808.0,29878.0
Office Supplies,Apr,543512.0,95870.0
Furniture,Jan,183866.0,31888.0
Furniture,Jun,185051.0,31872.0
Technology,Nov,227839.0,40258.0
Technology,Mar,177120.0,30165.0
Technology,Feb,173873.0,29377.0
Furniture,Apr,208168.0,37266.0
Technology,Apr,254584.0,43179.0
Furniture,Dec,219304.0,41191.0
Office Supplies,May,609600.0,109985.0
Furniture,Jul,175475.0,31217.0
Furniture,May,190398.0,35189.0
