region,month_name,total_sales
South,Mar,217213.0
South,Jan,207360.0
East,Apr,345605.0
East,Nov,309094.0
Central,May,255513.0
East,Mar,315979.0
Central,Oct,244637.0
South,Nov,205398.0
Central,Apr,255821.0
South,Jul,142912.0
Central,Mar,282586.0
East,Jan,326179.0
West,Apr,351266.0
East,Sep,301699.0
South,Sep,198433.0
West,Aug,297969.0
Central,Nov,231180.0
South,Feb,194895.0
West,Mar,332519.0
South,Dec,221917.0
East,Feb,319774.0
West,Dec,410828.0
West,Sep,327183.0
Central,Sep,229254.0
South,Aug,197210.0
East,Jun,293586.0
West,Jan,361987.0
South,Apr,214500.0
Central,Dec,264813.0
West,Oct,334881.0
Central,Jun,237562.0
Central,Aug,272247.0
East,Oct,373877.0
West,Jun,331198.0
West,Jul,336359.0
West,Nov,341980.0
East,Dec,354603.0
South,Jun,196509.0
East,Jul,321640.0
East,May,338380.0
South,Oct,232420.0
Central,Jul,269988.0
Central,Jan,254908.0
East,Aug,302141.0
Central,Feb,255155.0
South,May,225546.0
West,May,330531.0
West,Feb,244697.0
