segment,month_name,total_sales,total_profit
Corporate,Oct,264168.0,46079.0
Home Office,Jul,135077.0,24050.0
Consumer,Jul,371388.0,67245.0
Corporate,Mar,245215.0,41614.0
Consumer,Nov,345951.0,59273.0
Home Office,Aug,127685.0,22268.0
Consumer,Aug,389307.0,71087.0
Corporate,Aug,228914.0,39751.0
Home Office,Apr,129166.0,22173.0
Consumer,Jun,365434.0,65113.0
Consumer,May,393078.0,69599.0
Home Office,Sep,116761.0,20906.0
Corporate,Jul,209021.0,38127.0
Corporate,Dec,276168.0,48594.0
Corporate,May,258223.0,45491.0
Corporate,Apr,253832.0,42931.0
Home Office,May,133701.0,24633.0
Home Office,Jan,138755.0,25798.0
Home Office,Jun,119873.0,22441.0
Consumer,Sep,391990.0,68501.0
Home Office,Mar,159564.0,25461.0
Consumer,Apr,398086.0,70280.0
Home Office,Nov,141692.0,24815.0
Home Office,Oct,164867.0,28851.0
Consumer,Dec,421902.0,75001.0
Corporate,Nov,270436.0,44392.0
Corporate,Sep,227043.0,40252.0
Corporate,Feb,241830.0,39824.0
Home Office,Feb,121099.0,21719.0
Consumer,Mar,430906.0,77008.0
Consumer,Oct,427824.0,76016.0
Corporate,Jan,290433.0,48678.0
Consumer,Jan,367400.0,65179.0
Corporate,Jun,222555.0,39159.0
Home Office,Dec,146073.0,23697.0
Consumer,Feb,350214.0,64581.0
