segment,month_name,total_sales,total_profit
Corporate,Oct,418809.0,71789.0
Home Office,Jul,257187.0,46609.0
Consumer,Jul,606824.0,106777.0
Corporate,Mar,342831.0,57130.0
Consumer,Nov,600223.0,103336.0
Home Office,Aug,209636.0,37863.0
Consumer,Aug,617369.0,109673.0
Corporate,Aug,341930.0,58824.0
Home Office,Apr,222398.0,39012.0
Consumer,Jun,590594.0,106461.0
Consumer,May,657207.0,116258.0
Home Office,Sep,203565.0,35957.0
Corporate,Jul,342808.0,60609.0
Corporate,Dec,422506.0,73227.0
Corporate,May,372631.0,66283.0
Corporate,Apr,408080.0,69661.0
Home Office,May,227635.0,41819.0
Home Office,Jan,219809.0,40382.0
Home Office,Jun,207434.0,37774.0
Consumer,Sep,619645.0,109968.0
Home Office,Mar,247959.0,41571.0
Consumer,Apr,668526.0,118184.0
Home Office,Nov,218822.0,38175.0
Home Office,Oct,242232.0,42891.0
Consumer,Dec,700343.0,127541.0
Corporate,Nov,396712.0,68350.0
Corporate,Sep,347179.0,61804.0
Corporate,Feb,385211.0,66187.0
Home Office,Feb,196191.0,35778.0
Consumer,Mar,683616.0,121386.0
Consumer,Oct,653758.0,114752.0
Corporate,Jan,463900.0,79386.0
Consumer,Jan,594416.0,103341.0
Corporate,Jun,375822.0,67384.0
Home Office,Dec,237406.0,40718.0
Consumer,Feb,576368.0,103461.0
