region,month_name,total_sales
South,Mar,240533.0
South,Jan,217899.0
East,Apr,376458.0
East,Nov,332245.0
Central,May,271104.0
East,Mar,342526.0
Central,Oct,269772.0
South,Nov,227990.0
Central,Apr,284796.0
South,Jul,161249.0
Central,Mar,307044.0
East,Jan,358312.0
West,Apr,370301.0
East,Sep,320008.0
South,Sep,208650.0
West,Aug,317094.0
Central,Nov,256781.0
South,Feb,212457.0
West,Mar,350787.0
South,Dec,235928.0
East,Feb,352924.0
West,Dec,426268.0
West,Sep,362002.0
Central,Sep,253048.0
South,Aug,205979.0
East,Jun,315301.0
West,Jan,393416.0
South,Apr,225937.0
Central,Dec,287935.0
West,Oct,365972.0
Central,Jun,256423.0
Central,Aug,292674.0
East,Oct,409290.0
West,Jun,352511.0
West,Jul,359404.0
West,Nov,363440.0
East,Dec,373353.0
South,Jun,209841.0
East,Jul,359360.0
East,May,356375.0
South,Oct,250378.0
Central,Jul,288807.0
Central,Jan,285003.0
East,Aug,323476.0
Central,Feb,279211.0
South,May,245126.0
West,May,354709.0
West,Feb,269653.0
