region,month_name,total_sales
South,Mar,244742.0
South,Jan,222544.0
East,Apr,385436.0
East,Nov,344253.0
Central,May,279434.0
East,Mar,362642.0
Central,Oct,276127.0
South,Nov,235202.0
Central,Apr,296831.0
South,Jul,168333.0
Central,Mar,315161.0
East,Jan,377483.0
West,Apr,387574.0
East,Sep,339506.0
South,Sep,213770.0
West,Aug,331804.0
Central,Nov,265852.0
South,Feb,216976.0
West,Mar,363605.0
South,Dec,240046.0
East,Feb,369954.0
West,Dec,442964.0
West,Sep,383275.0
Central,Sep,262215.0
South,Aug,212488.0
East,Jun,325831.0
West,Jan,409831.0
South,Apr,244627.0
Central,Dec,306366.0
West,Oct,377627.0
Central,Jun,265658.0
Central,Aug,305272.0
East,Oct,415156.0
West,Jun,365298.0
West,Jul,370888.0
West,Nov,382649.0
East,Dec,392022.0
South,Jun,229613.0
East,Jul,377874.0
East,May,366410.0
South,Oct,256120.0
Central,Jul,309719.0
Central,Jan,292056.0
East,Aug,334350.0
Central,Feb,299362.0
South,May,257623.0
West,May,370626.0
West,Feb,282065.0
