category,month,total_sales,total_profit
Furniture,Sep,186182.0,31146.0
Furniture,Oct,174739.0,32423.0
Furniture,Mar,210972.0,38756.0
Office Supplies,Feb,482120.0,84996.0
Technology,Jul,181708.0,32067.0
Office Supplies,Dec,546957.0,94998.0
Furniture,Aug,171609.0,30853.0
Office Supplies,Jul,488879.0,89890.0
Office Supplies,Jun,460729.0,85065.0
Technology,Sep,158572.0,28391.0
Technology,Dec,213135.0,37528.0
Technology,Jun,200156.0,36398.0
Office Supplies,Jan,537932.0,93053.0
Technology,Aug,181275.0,31777.0
Technology,Oct,227124.0,38634.0
Technology,Jan,181119.0,33167.0
Office Supplies,Mar,544197.0,92148.0
Office Supplies,Aug,474062.0,84536.0
Office Supplies,Sep,475820.0,84756.0
Office Supplies,Oct,533420.0,94384.0
Furniture,Nov,171079.0,28969.0
Office Supplies,Nov,468351.0,79843.0
Technology,May,175540.0,29440.0
Furniture,Feb,139994.0,26238.0
Office Supplies,Apr,477489.0,84591.0
Furniture,Jan,168585.0,29340.0
Furniture,Jun,161831.0,26842.0
Technology,Nov,199895.0,34846.0
Technology,Mar,160502.0,27250.0
Technology,Feb,154595.0,26165.0
Furniture,Apr,188297.0,33516.0
Technology,Apr,216662.0,36700.0
Furniture,Dec,175466.0,31402.0
Office Supplies,May,527142.0,93460.0
Furniture,Jul,144255.0,25277.0
Furniture,May,169192.0,31485.0
