category,month,total_sales,total_profit
Furniture,Sep,165879.0,27473.0
Furniture,Oct,157463.0,29440.0
Furniture,Mar,192434.0,35633.0
Office Supplies,Feb,431564.0,75801.0
Technology,Jul,158669.0,27982.0
Office Supplies,Dec,487559.0,84384.0
Furniture,Aug,152669.0,27356.0
Office Supplies,Jul,406746.0,74937.0
Office Supplies,Jun,380130.0,68860.0
Technology,Sep,134797.0,24517.0
Technology,Dec,181290.0,31382.0
Technology,Jun,175178.0,32100.0
Office Supplies,Jan,452794.0,79501.0
Technology,Aug,157298.0,27376.0
Technology,Oct,195316.0,32112.0
Technology,Jan,159791.0,29631.0
Office Supplies,Mar,458932.0,76001.0
Office Supplies,Aug,407798.0,73351.0
Office Supplies,Sep,402574.0,70364.0
Office Supplies,Oct,463605.0,80730.0
Furniture,Nov,153312.0,25659.0
Office Supplies,Nov,407050.0,68238.0
Technology,May,155243.0,25920.0
Furniture,Feb,123715.0,23361.0
Office Supplies,Apr,398276.0,69130.0
Furniture,Jan,148217.0,25812.0
Furniture,Jun,113891.0,19623.0
Technology,Nov,179115.0,31164.0
Technology,Mar,139644.0,23983.0
Technology,Feb,137176.0,23023.0
Furniture,Apr,159732.0,27867.0
Technology,Apr,178503.0,29877.0
Furniture,Dec,156143.0,28146.0
Office Supplies,May,449636.0,80331.0
Furniture,Jul,124597.0,21861.0
Furniture,May,149494.0,28095.0
