state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,139,1
Alabama,Binders,100,2
Alabama,Accessories,59,3
Alabama,Furnishings,54,4
Alabama,Storage,51,5
Alabama,Art,38,6
Alabama,Phones,37,7
Alabama,Envelopes,36,8
Alabama,Chairs,36,8
Alabama,Tables,28,10
Alabama,Appliances,28,10
Alabama,Supplies,18,12
Alabama,Labels,18,12
Alabama,Bookcases,16,14
Alabama,Machines,11,15
Alabama,Fasteners,11,15
Alabama,Copiers,8,17
Arizona,Paper,406,1
Arizona,Binders,381,2
Arizona,Furnishings,350,3
Arizona,Phones,295,4
Arizona,Art,263,5
Arizona,Accessories,245,6
Arizona,Storage,226,7
Arizona,Appliances,162,8
Arizona,Chairs,155,9
Arizona,Labels,150,10
Arizona,Envelopes,105,11
Arizona,Bookcases,98,12
Arizona,Machines,96,13
Arizona,Tables,94,14
Arizona,Fasteners,50,15
Arizona,Supplies,48,16
Arizona,Copiers,25,17
Arkansas,Furnishings,57,1
Arkansas,Art,50,2
Arkansas,Phones,49,3
Arkansas,Paper,44,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Accessories,20,7
Arkansas,Fasteners,18,8
Arkansas,Labels,18,8
Arkansas,Appliances,16,10
Arkansas,Tables,15,11
Arkansas,Chairs,13,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,3036,1
California,Binders,2358,2
California,Phones,2138,3
California,Furnishings,1984,4
California,Art,1977,5
California,Accessories,1687,6
California,Storage,1509,7
California,Appliances,1192,8
California,Chairs,1010,9
California,Machines,863,10
California,Labels,833,11
California,Bookcases,651,12
California,Envelopes,632,13
California,Tables,619,14
California,Supplies,496,15
California,Fasteners,414,16
California,Copiers,136,17
Colorado,Paper,376,1
Colorado,Binders,374,2
Colorado,Furnishings,263,3
Colorado,Phones,253,4
Colorado,Art,230,5
Colorado,Storage,208,6
Colorado,Accessories,183,7
Colorado,Appliances,135,8
Colorado,Machines,124,9
Colorado,Chairs,116,10
Colorado,Bookcases,94,11
Colorado,Envelopes,93,12
Colorado,Labels,92,13
Colorado,Tables,81,14
Colorado,Supplies,80,15
Colorado,Fasteners,44,16
Colorado,Copiers,10,17
Connecticut,Binders,85,1
Connecticut,Furnishings,83,2
Connecticut,Phones,79,3
Connecticut,Paper,73,4
Connecticut,Accessories,62,5
Connecticut,Art,59,6
Connecticut,Appliances,48,7
Connecticut,Storage,46,8
Connecticut,Labels,44,9
Connecticut,Chairs,27,10
Connecticut,Machines,27,10
Connecticut,Fasteners,23,12
Connecticut,Tables,19,13
Connecticut,Bookcases,17,14
Connecticut,Envelopes,8,15
Connecticut,Supplies,8,15
Connecticut,Copiers,2,17
Delaware,Storage,133,1
Delaware,Furnishings,131,2
Delaware,Paper,106,3
Delaware,Accessories,78,4
Delaware,Phones,68,5
Delaware,Chairs,57,6
Delaware,Machines,53,7
Delaware,Appliances,52,8
Delaware,Binders,48,9
Delaware,Art,46,10
Delaware,Labels,32,11
Delaware,Supplies,28,12
Delaware,Envelopes,24,13
Delaware,Bookcases,20,14
Delaware,Fasteners,16,15
Delaware,Tables,12,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Art,7,5
District of Columbia,Fasteners,7,5
District of Columbia,Phones,5,7
District of Columbia,Chairs,3,8
District of Columbia,Envelopes,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
Florida,Paper,661,1
Florida,Binders,510,2
Florida,Art,437,3
Florida,Phones,411,4
Florida,Furnishings,388,5
Florida,Accessories,337,6
Florida,Storage,287,7
Florida,Appliances,218,8
Florida,Chairs,206,9
Florida,Labels,193,10
Florida,Tables,150,11
Florida,Machines,133,12
Florida,Fasteners,112,13
Florida,Envelopes,94,14
Florida,Supplies,84,15
Florida,Bookcases,78,16
Florida,Copiers,18,17
Georgia,Paper,240,1
Georgia,Binders,226,2
Georgia,Phones,222,3
Georgia,Furnishings,161,4
Georgia,Art,135,5
Georgia,Appliances,101,6
Georgia,Storage,100,7
Georgia,Chairs,87,8
Georgia,Accessories,82,9
Georgia,Tables,63,10
Georgia,Bookcases,62,11
Georgia,Machines,57,12
Georgia,Labels,48,13
Georgia,Envelopes,38,14
Georgia,Supplies,32,15
Georgia,Fasteners,28,16
Georgia,Copiers,8,17
Illinois,Paper,721,1
Illinois,Binders,554,2
Illinois,Furnishings,539,3
Illinois,Phones,520,4
Illinois,Accessories,364,5
Illinois,Art,352,6
Illinois,Storage,338,7
Illinois,Chairs,292,8
Illinois,Appliances,265,9
Illinois,Machines,203,10
Illinois,Labels,169,11
Illinois,Bookcases,140,12
Illinois,Envelopes,138,13
Illinois,Tables,133,14
Illinois,Supplies,110,15
Illinois,Fasteners,109,16
Illinois,Copiers,27,17
Indiana,Paper,172,1
Indiana,Binders,140,2
Indiana,Accessories,119,3
Indiana,Phones,115,4
Indiana,Art,104,5
Indiana,Furnishings,94,6
Indiana,Storage,85,7
Indiana,Labels,58,8
Indiana,Appliances,52,9
Indiana,Chairs,50,10
Indiana,Bookcases,36,11
Indiana,Supplies,35,12
Indiana,Machines,33,13
Indiana,Envelopes,25,14
Indiana,Tables,15,15
Indiana,Fasteners,11,16
Indiana,Copiers,10,17
Iowa,Accessories,45,1
Iowa,Phones,43,2
Iowa,Paper,42,3
Iowa,Chairs,33,4
Iowa,Machines,25,5
Iowa,Storage,21,6
Iowa,Furnishings,21,6
Iowa,Binders,20,8
Iowa,Art,19,9
Iowa,Appliances,7,10
Iowa,Labels,6,11
Iowa,Tables,5,12
Iowa,Fasteners,3,13
Iowa,Supplies,3,13
Iowa,Envelopes,2,15
Kansas,Paper,78,1
Kansas,Art,61,2
Kansas,Chairs,44,3
Kansas,Phones,34,4
Kansas,Accessories,24,5
Kansas,Fasteners,23,6
Kansas,Binders,18,7
Kansas,Furnishings,15,8
Kansas,Labels,14,9
Kansas,Tables,14,9
Kansas,Appliances,9,11
Kansas,Storage,9,11
Kansas,Supplies,9,11
Kansas,Bookcases,8,14
Kansas,Machines,8,14
Kansas,Copiers,2,16
Kentucky,Paper,344,1
Kentucky,Binders,221,2
Kentucky,Phones,213,3
Kentucky,Furnishings,202,4
Kentucky,Art,199,5
Kentucky,Appliances,156,6
Kentucky,Storage,144,7
Kentucky,Accessories,137,8
Kentucky,Chairs,119,9
Kentucky,Machines,69,10
Kentucky,Fasteners,66,11
Kentucky,Labels,66,11
Kentucky,Envelopes,60,13
Kentucky,Bookcases,60,13
Kentucky,Tables,41,15
Kentucky,Supplies,37,16
Kentucky,Copiers,17,17
Louisiana,Art,100,1
Louisiana,Binders,94,2
Louisiana,Paper,87,3
Louisiana,Phones,77,4
Louisiana,Accessories,50,5
Louisiana,Chairs,49,6
Louisiana,Storage,48,7
Louisiana,Furnishings,41,8
Louisiana,Envelopes,25,9
Louisiana,Appliances,24,10
Louisiana,Fasteners,22,11
Louisiana,Labels,19,12
Louisiana,Machines,15,13
Louisiana,Tables,14,14
Louisiana,Bookcases,12,15
Louisiana,Supplies,10,16
Maryland,Phones,59,1
Maryland,Storage,52,2
Maryland,Furnishings,42,3
Maryland,Binders,25,4
Maryland,Paper,19,5
Maryland,Appliances,17,6
Maryland,Fasteners,17,6
Maryland,Supplies,16,8
Maryland,Accessories,15,9
Maryland,Art,15,9
Maryland,Labels,14,11
Maryland,Tables,13,12
Maryland,Bookcases,10,13
Maryland,Machines,9,14
Maryland,Chairs,7,15
Maryland,Copiers,6,16
Maryland,Envelopes,3,17
Massachusetts,Binders,186,1
Massachusetts,Paper,181,2
Massachusetts,Furnishings,156,3
Massachusetts,Phones,148,4
Massachusetts,Art,138,5
Massachusetts,Accessories,102,6
Massachusetts,Storage,89,7
