category,month,total_sales,total_profit
Furniture,Sep,242707.0,42177.0
Furniture,Oct,224919.0,40595.0
Furniture,Mar,268107.0,49037.0
Office Supplies,Feb,620799.0,110490.0
Technology,Jul,241887.0,41713.0
Office Supplies,Dec,691145.0,120048.0
Furniture,Aug,224973.0,41123.0
Office Supplies,Jul,625306.0,113494.0
Office Supplies,Jun,602405.0,110033.0
Technology,Sep,205743.0,37329.0
Technology,Dec,296392.0,52958.0
Technology,Jun,245858.0,44902.0
Office Supplies,Jan,696396.0,120382.0
Technology,Aug,220475.0,38838.0
Technology,Oct,267976.0,45548.0
Technology,Jan,228142.0,41379.0
Office Supplies,Mar,678019.0,114232.0
Office Supplies,Aug,619823.0,108856.0
Office Supplies,Sep,602577.0,107370.0
Office Supplies,Oct,683896.0,120289.0
Furniture,Nov,209881.0,36219.0
Office Supplies,Nov,617011.0,104572.0
Technology,May,220532.0,37352.0
Furniture,Feb,184877.0,34629.0
Office Supplies,Apr,643715.0,112679.0
Furniture,Jan,218498.0,38333.0
Furniture,Jun,205748.0,35835.0
Technology,Nov,255513.0,45920.0
Technology,Mar,197145.0,33939.0
Technology,Feb,206511.0,33806.0
Furniture,Apr,227117.0,40507.0
Technology,Apr,288726.0,49521.0
Furniture,Dec,257442.0,47042.0
Office Supplies,May,707200.0,126800.0
Furniture,Jul,196371.0,34686.0
Furniture,May,216100.0,40054.0
