category,month,total_sales,total_profit
Furniture,Sep,173756.0,28968.0
Furniture,Oct,167660.0,31182.0
Furniture,Mar,200969.0,37077.0
Office Supplies,Feb,459326.0,81159.0
Technology,Jul,167770.0,29562.0
Office Supplies,Dec,512750.0,88826.0
Furniture,Aug,161295.0,28921.0
Office Supplies,Jul,440608.0,81444.0
Office Supplies,Jun,404907.0,73335.0
Technology,Sep,145152.0,26309.0
Technology,Dec,191958.0,33223.0
Technology,Jun,181974.0,33299.0
Office Supplies,Jan,483821.0,83847.0
Technology,Aug,164265.0,28828.0
Technology,Oct,208933.0,34730.0
Technology,Jan,168585.0,30941.0
Office Supplies,Mar,503696.0,84210.0
Office Supplies,Aug,438172.0,78134.0
Office Supplies,Sep,433395.0,76973.0
Office Supplies,Oct,496428.0,88042.0
Furniture,Nov,159455.0,26984.0
Office Supplies,Nov,423467.0,71128.0
Technology,May,161955.0,27036.0
Furniture,Feb,129018.0,24429.0
Office Supplies,Apr,441449.0,78243.0
Furniture,Jan,158233.0,27393.0
Furniture,Jun,131401.0,21694.0
Technology,Nov,188101.0,32879.0
Technology,Mar,146934.0,25229.0
Technology,Feb,143089.0,24181.0
Furniture,Apr,167438.0,29237.0
Technology,Apr,197910.0,33270.0
Furniture,Dec,160046.0,28646.0
Office Supplies,May,483017.0,86233.0
Furniture,Jul,132417.0,23179.0
Furniture,May,159844.0,29825.0
