region,month_name,total_sales
South,Mar,209418.0
South,Jan,196784.0
East,Apr,324423.0
East,Nov,293890.0
Central,May,245211.0
East,Mar,299686.0
Central,Oct,223161.0
South,Nov,196699.0
Central,Apr,246778.0
South,Jul,134463.0
Central,Mar,262519.0
East,Jan,310316.0
West,Apr,330946.0
East,Sep,284797.0
South,Sep,195247.0
West,Aug,279224.0
Central,Nov,217285.0
South,Feb,181487.0
West,Mar,308233.0
South,Dec,205572.0
East,Feb,299630.0
West,Dec,385993.0
West,Sep,301281.0
Central,Sep,216431.0
South,Aug,184179.0
East,Jun,281566.0
West,Jan,339194.0
South,Apr,199011.0
Central,Dec,247249.0
West,Oct,314023.0
Central,Jun,221036.0
Central,Aug,260860.0
East,Oct,357600.0
West,Jun,315628.0
West,Jul,319964.0
West,Nov,328384.0
East,Dec,332712.0
South,Jun,180161.0
East,Jul,307938.0
East,May,305809.0
South,Oct,218088.0
Central,Jul,243795.0
Central,Jan,243659.0
East,Aug,285255.0
Central,Feb,243348.0
South,May,211974.0
West,May,305453.0
West,Feb,231287.0
