segment,month_name,total_sales,total_profit
Corporate,Oct,332604.0,58376.0
Home Office,Jul,205978.0,37783.0
Consumer,Jul,491572.0,86704.0
Corporate,Mar,290335.0,49123.0
Consumer,Nov,475713.0,81676.0
Home Office,Aug,175905.0,31383.0
Consumer,Aug,519780.0,93228.0
Corporate,Aug,285365.0,49095.0
Home Office,Apr,186065.0,32242.0
Consumer,Jun,487323.0,87626.0
Consumer,May,530219.0,94277.0
Home Office,Sep,153656.0,27185.0
Corporate,Jul,274213.0,49548.0
Corporate,Dec,363627.0,62988.0
Corporate,May,322108.0,56725.0
Corporate,Apr,313200.0,53424.0
Home Office,May,182827.0,33313.0
Home Office,Jan,189046.0,35102.0
Home Office,Jun,166135.0,30966.0
Consumer,Sep,514678.0,90575.0
Home Office,Mar,196848.0,31522.0
Consumer,Apr,567234.0,100184.0
Home Office,Nov,186343.0,32730.0
Home Office,Oct,199641.0,35048.0
Consumer,Dec,577471.0,105129.0
Corporate,Nov,345601.0,58847.0
Corporate,Sep,289492.0,51272.0
Corporate,Feb,301923.0,49513.0
Home Office,Feb,157359.0,28309.0
Consumer,Mar,559242.0,98807.0
Consumer,Oct,553479.0,98294.0
Corporate,Jan,363428.0,61184.0
Consumer,Jan,497093.0,87252.0
Corporate,Jun,314038.0,56854.0
Home Office,Dec,199999.0,34248.0
Consumer,Feb,472592.0,86113.0
