region,month_name,total_sales
South,Mar,196012.0
South,Jan,181334.0
East,Apr,304348.0
East,Nov,277066.0
Central,May,223869.0
East,Mar,283907.0
Central,Oct,210246.0
South,Nov,177307.0
Central,Apr,223821.0
South,Jul,125388.0
Central,Mar,248343.0
East,Jan,295556.0
West,Apr,311856.0
East,Sep,254039.0
South,Sep,177018.0
West,Aug,256798.0
Central,Nov,202311.0
South,Feb,173689.0
West,Mar,283614.0
South,Dec,193675.0
East,Feb,271275.0
West,Dec,367671.0
West,Sep,286592.0
Central,Sep,205475.0
South,Aug,170117.0
East,Jun,265047.0
West,Jan,317551.0
South,Apr,168339.0
Central,Dec,232676.0
West,Oct,291598.0
Central,Jun,210413.0
Central,Aug,238349.0
East,Oct,341740.0
West,Jun,293348.0
West,Jul,297639.0
West,Nov,291737.0
East,Dec,309988.0
South,Jun,171263.0
East,Jul,278822.0
East,May,292648.0
South,Oct,209070.0
Central,Jul,226539.0
Central,Jan,216542.0
East,Aug,265437.0
Central,Feb,232001.0
South,May,199085.0
West,May,283626.0
West,Feb,204601.0
