state,total_sales,total_customers
Alabama,78454.0,50
Arizona,376466.0,134
Arkansas,58497.0,8
California,2534971.0,876
Colorado,299298.0,108
Connecticut,88353.0,33
Delaware,104147.0,34
District of Columbia,7388.0,3
Florida,468970.0,145
Georgia,203712.0,105
Illinois,604178.0,225
Indiana,148096.0,58
Iowa,31254.0,21
Kansas,38971.0,6
Kentucky,305682.0,64
Louisiana,69306.0,35
Maryland,45718.0,21
Massachusetts,168943.0,66
Michigan,266550.0,85
Minnesota,222119.0,60
Mississippi,72900.0,25
Missouri,82765.0,37
Nebraska,6313.0,8
Nevada,25419.0,17
New Hampshire,28444.0,13
New Jersey,211722.0,69
New Mexico,11361.0,15
New York,1302035.0,462
North Carolina,397900.0,183
Ohio,599295.0,209
Oklahoma,47985.0,18
Oregon,54549.0,14
Pennsylvania,718121.0,272
Rhode Island,64080.0,20
South Dakota,4821.0,5
Tennessee,199685.0,71
Texas,1266304.0,438
Utah,92720.0,34
Virginia,265925.0,87
Washington,596811.0,221
Wisconsin,94325.0,44
