segment,month_name,total_sales,total_profit
Corporate,Oct,307803.0,53934.0
Home Office,Jul,186390.0,34403.0
Consumer,Jul,437962.0,78201.0
Corporate,Mar,268917.0,45327.0
Consumer,Nov,412967.0,72168.0
Home Office,Aug,151021.0,26527.0
Consumer,Aug,461823.0,83362.0
Corporate,Aug,266302.0,45823.0
Home Office,Apr,162274.0,29224.0
Consumer,Jun,440058.0,78661.0
Consumer,May,475961.0,85265.0
Home Office,Sep,136342.0,23998.0
Corporate,Jul,250275.0,45617.0
Corporate,Dec,326902.0,56940.0
Corporate,May,297513.0,52037.0
Corporate,Apr,296198.0,50648.0
Home Office,May,158582.0,28693.0
Home Office,Jan,163391.0,29973.0
Home Office,Jun,150095.0,28036.0
Consumer,Sep,472779.0,82631.0
Home Office,Mar,176680.0,28513.0
Consumer,Apr,476383.0,84112.0
Home Office,Nov,165399.0,28834.0
Home Office,Oct,184319.0,32269.0
Consumer,Dec,501175.0,90265.0
Corporate,Nov,316363.0,52817.0
Corporate,Sep,266071.0,47299.0
Corporate,Feb,273884.0,44678.0
Home Office,Feb,140535.0,25236.0
Consumer,Mar,502690.0,89868.0
Consumer,Oct,493203.0,88713.0
Corporate,Jan,336660.0,57151.0
Consumer,Jan,444585.0,78617.0
Corporate,Jun,297487.0,53942.0
Home Office,Dec,172162.0,28404.0
Consumer,Feb,422002.0,77716.0
