region,month_name,total_sales
South,Mar,255641.0
South,Jan,244983.0
East,Apr,401628.0
East,Nov,360004.0
Central,May,296461.0
East,Mar,385256.0
Central,Oct,296741.0
South,Nov,244800.0
Central,Apr,316826.0
South,Jul,184488.0
Central,Mar,333693.0
East,Jan,396060.0
West,Apr,415293.0
East,Sep,373988.0
South,Sep,221555.0
West,Aug,352679.0
Central,Nov,285943.0
South,Feb,230607.0
West,Mar,380589.0
South,Dec,260084.0
East,Feb,394662.0
West,Dec,469032.0
West,Sep,403085.0
Central,Sep,271754.0
South,Aug,232800.0
East,Jun,353046.0
West,Jan,434579.0
South,Apr,250896.0
Central,Dec,324004.0
West,Oct,405497.0
Central,Jun,295687.0
Central,Aug,315154.0
East,Oct,426005.0
West,Jun,387363.0
West,Jul,394008.0
West,Nov,394340.0
East,Dec,412728.0
South,Jun,239055.0
East,Jul,397968.0
East,May,380471.0
South,Oct,282144.0
Central,Jul,328939.0
Central,Jan,305807.0
East,Aug,353874.0
Central,Feb,313844.0
South,May,272219.0
West,May,395303.0
West,Feb,293183.0
