state,total_sales,total_customers
Alabama,81244.0,52
Arizona,381553.0,138
Arkansas,58497.0,8
California,2567773.0,912
Colorado,302464.0,112
Connecticut,88353.0,33
Delaware,104497.0,35
District of Columbia,7388.0,3
Florida,473377.0,151
Georgia,217229.0,117
Illinois,617789.0,235
Indiana,162825.0,64
Iowa,31254.0,21
Kansas,38971.0,6
Kentucky,309094.0,69
Louisiana,72303.0,39
Maryland,45959.0,22
Massachusetts,170277.0,68
Michigan,273035.0,92
Minnesota,222289.0,61
Mississippi,74883.0,28
Missouri,84993.0,39
Nebraska,6313.0,8
Nevada,25419.0,17
New Hampshire,28444.0,13
New Jersey,212672.0,72
New Mexico,13264.0,16
New York,1319196.0,475
North Carolina,405852.0,191
Ohio,616348.0,226
Oklahoma,47985.0,18
Oregon,54549.0,14
Pennsylvania,731847.0,285
Rhode Island,64420.0,21
South Dakota,4821.0,5
Tennessee,200891.0,73
Texas,1279971.0,454
Utah,94746.0,35
Virginia,266612.0,89
Washington,605283.0,225
Wisconsin,98143.0,48
