category,month,total_sales,total_profit
Furniture,Sep,222867.0,37954.0
Furniture,Oct,208567.0,38467.0
Furniture,Mar,252864.0,46469.0
Office Supplies,Feb,590992.0,104963.0
Technology,Jul,219411.0,37703.0
Office Supplies,Dec,655276.0,113445.0
Furniture,Aug,217190.0,39688.0
Office Supplies,Jul,601945.0,109637.0
Office Supplies,Jun,568880.0,103900.0
Technology,Sep,199670.0,36365.0
Technology,Dec,276702.0,49660.0
Technology,Jun,234878.0,42984.0
Office Supplies,Jan,674259.0,116544.0
Technology,Aug,212813.0,37434.0
Technology,Oct,259082.0,44223.0
Technology,Jan,218843.0,39823.0
Office Supplies,Mar,643412.0,107915.0
Office Supplies,Aug,582668.0,102662.0
Office Supplies,Sep,580392.0,103331.0
Office Supplies,Oct,652511.0,115091.0
Furniture,Nov,202317.0,34933.0
Office Supplies,Nov,587857.0,99781.0
Technology,May,211750.0,35827.0
Furniture,Feb,170012.0,31739.0
Office Supplies,Apr,616742.0,107744.0
Furniture,Jan,200120.0,34916.0
Furniture,Jun,199261.0,34421.0
Technology,Nov,248532.0,44652.0
Technology,Mar,189046.0,32556.0
Technology,Feb,197537.0,32454.0
Furniture,Apr,216576.0,38545.0
Technology,Apr,278992.0,47804.0
Furniture,Dec,247251.0,45251.0
Office Supplies,May,654667.0,117001.0
Furniture,Jul,189160.0,33526.0
Furniture,May,203914.0,37850.0
