state,total_sales,total_customers
Alabama,62238.0,32
Arizona,328958.0,98
Arkansas,55819.0,6
California,2230785.0,591
Colorado,253872.0,64
Connecticut,81301.0,22
Delaware,84855.0,22
District of Columbia,6729.0,2
Florida,414769.0,96
Georgia,155155.0,69
Illinois,497071.0,148
Indiana,131899.0,37
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,271788.0,47
Louisiana,58059.0,25
Maryland,38722.0,12
Massachusetts,138206.0,42
Michigan,227084.0,52
Minnesota,182047.0,38
Mississippi,63487.0,18
Missouri,75360.0,26
Nebraska,4094.0,6
Nevada,18341.0,14
New Hampshire,26340.0,9
New Jersey,180712.0,42
New Mexico,7401.0,9
New York,1154302.0,328
North Carolina,328277.0,108
Ohio,547328.0,148
Oklahoma,42056.0,11
Oregon,37626.0,7
Pennsylvania,615729.0,172
Rhode Island,58698.0,14
South Dakota,2397.0,4
Tennessee,177038.0,51
Texas,1095774.0,292
Utah,81372.0,25
Virginia,241805.0,61
Washington,521234.0,155
Wisconsin,85551.0,33
