region,month_name,total_sales
South,Mar,226177.0
South,Jan,213677.0
East,Apr,361343.0
East,Nov,317662.0
Central,May,263545.0
East,Mar,328930.0
Central,Oct,254228.0
South,Nov,222774.0
Central,Apr,269342.0
South,Jul,152811.0
Central,Mar,289956.0
East,Jan,337432.0
West,Apr,359819.0
East,Sep,311140.0
South,Sep,202727.0
West,Aug,307200.0
Central,Nov,246930.0
South,Feb,204610.0
West,Mar,342764.0
South,Dec,229955.0
East,Feb,327729.0
West,Dec,416787.0
West,Sep,346457.0
Central,Sep,238811.0
South,Aug,203228.0
East,Jun,308297.0
West,Jan,379803.0
South,Apr,221897.0
Central,Dec,272996.0
West,Oct,343467.0
Central,Jun,245388.0
Central,Aug,283720.0
East,Oct,380881.0
West,Jun,342401.0
West,Jul,348619.0
West,Nov,352409.0
East,Dec,364008.0
South,Jun,204551.0
East,Jul,338843.0
East,May,349851.0
South,Oct,246500.0
Central,Jul,276268.0
Central,Jan,265036.0
East,Aug,313257.0
Central,Feb,268810.0
South,May,238671.0
West,May,343841.0
West,Feb,254831.0
