region,month_name,total_sales
South,Mar,259625.0
South,Jan,246805.0
East,Apr,405833.0
East,Nov,364104.0
Central,May,303435.0
East,Mar,389124.0
Central,Oct,301458.0
South,Nov,247730.0
Central,Apr,322306.0
South,Jul,185203.0
Central,Mar,339458.0
East,Jan,402007.0
West,Apr,419033.0
East,Sep,387054.0
South,Sep,227693.0
West,Aug,355911.0
Central,Nov,288940.0
South,Feb,234147.0
West,Mar,385401.0
South,Dec,261673.0
East,Feb,401055.0
West,Dec,481598.0
West,Sep,411853.0
Central,Sep,275656.0
South,Aug,236071.0
East,Jun,360380.0
West,Jan,442571.0
South,Apr,253964.0
Central,Dec,330917.0
West,Oct,412091.0
Central,Jun,300808.0
Central,Aug,320222.0
East,Oct,431169.0
West,Jun,392891.0
West,Jul,399536.0
West,Nov,401556.0
East,Dec,416389.0
South,Jun,241466.0
East,Jul,404142.0
East,May,393634.0
South,Oct,284945.0
Central,Jul,334422.0
Central,Jan,311880.0
East,Aug,359839.0
Central,Feb,319839.0
South,May,274003.0
West,May,399495.0
West,Feb,297184.0
