state,total_sales,total_customers
Alabama,75423.0,47
Arizona,365044.0,120
Arkansas,57876.0,7
California,2447587.0,802
Colorado,291919.0,99
Connecticut,87660.0,31
Delaware,102223.0,31
District of Columbia,7388.0,3
Florida,463552.0,136
Georgia,193292.0,97
Illinois,578182.0,203
Indiana,143267.0,53
Iowa,30771.0,20
Kansas,37564.0,5
Kentucky,303145.0,60
Louisiana,65782.0,32
Maryland,42519.0,16
Massachusetts,168665.0,65
Michigan,256098.0,77
Minnesota,219809.0,55
Mississippi,69576.0,22
Missouri,80344.0,33
Nebraska,6313.0,8
Nevada,25419.0,17
New Hampshire,28444.0,13
New Jersey,202262.0,59
New Mexico,11361.0,15
New York,1272638.0,426
North Carolina,382440.0,162
Ohio,587871.0,196
Oklahoma,46361.0,16
Oregon,51881.0,12
Pennsylvania,698929.0,248
Rhode Island,62664.0,18
South Dakota,4821.0,5
Tennessee,197136.0,67
Texas,1236292.0,402
Utah,84340.0,30
Virginia,261710.0,83
Washington,583142.0,208
Wisconsin,91228.0,38
