category,month,total_sales,total_profit
Furniture,Sep,261913.0,45626.0
Furniture,Oct,252229.0,45100.0
Furniture,Mar,285650.0,52372.0
Office Supplies,Feb,695918.0,124631.0
Technology,Jul,267836.0,46130.0
Office Supplies,Dec,751495.0,130844.0
Furniture,Aug,244790.0,44118.0
Office Supplies,Jul,699649.0,126870.0
Office Supplies,Jun,674515.0,122452.0
Technology,Sep,236185.0,42325.0
Technology,Dec,323368.0,58718.0
Technology,Jun,268387.0,49265.0
Office Supplies,Jan,775205.0,134507.0
Technology,Aug,243882.0,42933.0
Technology,Oct,305438.0,51736.0
Technology,Jan,260421.0,46130.0
Office Supplies,Mar,760931.0,128057.0
Office Supplies,Aug,676188.0,118493.0
Office Supplies,Sep,669320.0,119255.0
Office Supplies,Oct,752139.0,131805.0
Furniture,Nov,232148.0,40155.0
Office Supplies,Nov,698731.0,118547.0
Technology,May,244511.0,41833.0
Furniture,Feb,232649.0,43488.0
Office Supplies,Apr,710945.0,124681.0
Furniture,Jan,238074.0,41794.0
Furniture,Jun,227442.0,39389.0
Technology,Nov,278677.0,49878.0
Technology,Mar,223750.0,38894.0
Technology,Feb,224876.0,36675.0
Furniture,Apr,260546.0,45983.0
Technology,Apr,323484.0,55347.0
Furniture,Dec,280040.0,51169.0
Office Supplies,May,770649.0,138050.0
Furniture,Jul,233959.0,39988.0
Furniture,May,239718.0,44060.0
