segment,month_name,total_sales,total_profit
Corporate,Oct,434412.0,74959.0
Home Office,Jul,273622.0,49557.0
Consumer,Jul,658211.0,114538.0
Corporate,Mar,357285.0,59667.0
Consumer,Nov,626943.0,108394.0
Home Office,Aug,215474.0,38937.0
Consumer,Aug,654515.0,116504.0
Corporate,Aug,359158.0,62093.0
Home Office,Apr,236579.0,41498.0
Consumer,Jun,651341.0,115987.0
Consumer,May,689866.0,121915.0
Home Office,Sep,217050.0,38509.0
Corporate,Jul,354945.0,62748.0
Corporate,Dec,449778.0,77897.0
Corporate,May,390700.0,69558.0
Corporate,Apr,419909.0,71728.0
Home Office,May,235787.0,43383.0
Home Office,Jan,229524.0,41908.0
Home Office,Jun,214881.0,38994.0
Consumer,Sep,641524.0,113656.0
Home Office,Mar,255332.0,42990.0
Consumer,Apr,707551.0,125084.0
Home Office,Nov,230572.0,40634.0
Home Office,Oct,253022.0,44768.0
Consumer,Dec,740175.0,134221.0
Corporate,Nov,409122.0,70796.0
Corporate,Sep,383605.0,66668.0
Corporate,Feb,400330.0,68747.0
Home Office,Feb,209741.0,38113.0
Consumer,Mar,713832.0,127072.0
Consumer,Oct,704299.0,123298.0
Corporate,Jan,491620.0,85293.0
Consumer,Jan,631256.0,109724.0
Corporate,Jun,385985.0,69340.0
Home Office,Dec,248887.0,43039.0
Consumer,Feb,607571.0,108389.0
