category,month,total_sales,total_profit
Furniture,Sep,245266.0,42625.0
Furniture,Oct,228808.0,41384.0
Furniture,Mar,269952.0,49397.0
Office Supplies,Feb,630419.0,112272.0
Technology,Jul,250544.0,43007.0
Office Supplies,Dec,704698.0,122365.0
Furniture,Aug,226973.0,41617.0
Office Supplies,Jul,637020.0,115651.0
Office Supplies,Jun,611883.0,111808.0
Technology,Sep,218043.0,39496.0
Technology,Dec,299787.0,53536.0
Technology,Jun,251617.0,46038.0
Office Supplies,Jan,709340.0,122753.0
Technology,Aug,226810.0,39968.0
Technology,Oct,272914.0,46658.0
Technology,Jan,241611.0,43201.0
Office Supplies,Mar,694077.0,117596.0
Office Supplies,Aug,631494.0,110670.0
Office Supplies,Sep,613747.0,108988.0
Office Supplies,Oct,694749.0,122104.0
Furniture,Nov,212840.0,36668.0
Office Supplies,Nov,624603.0,105777.0
Technology,May,225036.0,38302.0
Furniture,Feb,194466.0,36342.0
Office Supplies,Apr,657115.0,114953.0
Furniture,Jan,221591.0,38909.0
Furniture,Jun,208791.0,36472.0
Technology,Nov,257285.0,46162.0
Technology,Mar,199998.0,34626.0
Technology,Feb,209472.0,34362.0
Furniture,Apr,231966.0,41267.0
Technology,Apr,301846.0,51639.0
Furniture,Dec,260375.0,47472.0
Office Supplies,May,717295.0,128630.0
Furniture,Jul,200315.0,35161.0
Furniture,May,221291.0,40813.0
