state,total_sales,total_customers
Alabama,48637.0,12
Arizona,275651.0,49
Arkansas,54031.0,4
California,1972924.0,338
Colorado,236031.0,44
Connecticut,76105.0,15
Delaware,74040.0,12
District of Columbia,5512.0,1
Florida,376515.0,60
Georgia,123671.0,34
Illinois,434098.0,88
Indiana,118025.0,21
Iowa,17467.0,6
Kansas,36327.0,4
Kentucky,249581.0,33
Louisiana,52745.0,19
Maryland,33396.0,7
Massachusetts,120765.0,23
Michigan,206510.0,34
Minnesota,162618.0,21
Mississippi,57075.0,9
Missouri,61412.0,14
Nebraska,520.0,1
Nevada,15686.0,9
New Hampshire,24215.0,5
New Jersey,168536.0,26
New Mexico,4889.0,6
New York,1015611.0,194
North Carolina,285703.0,60
Ohio,499421.0,97
Oklahoma,39766.0,7
Oregon,34607.0,3
Pennsylvania,530715.0,99
Rhode Island,51326.0,6
South Dakota,707.0,1
Tennessee,154323.0,28
Texas,973547.0,155
Utah,61865.0,15
Virginia,213698.0,37
Washington,450878.0,98
Wisconsin,66415.0,18
