region,month_name,total_sales
South,Mar,214264.0
South,Jan,198731.0
East,Apr,331460.0
East,Nov,298066.0
Central,May,249335.0
East,Mar,307178.0
Central,Oct,228685.0
South,Nov,199434.0
Central,Apr,250713.0
South,Jul,138777.0
Central,Mar,275043.0
East,Jan,316268.0
West,Apr,337119.0
East,Sep,290403.0
South,Sep,196717.0
West,Aug,287054.0
Central,Nov,222018.0
South,Feb,184577.0
West,Mar,325231.0
South,Dec,217826.0
East,Feb,305307.0
West,Dec,395241.0
West,Sep,314639.0
Central,Sep,220364.0
South,Aug,187061.0
East,Jun,284908.0
West,Jan,345957.0
South,Apr,207127.0
Central,Dec,254042.0
West,Oct,320419.0
Central,Jun,228658.0
Central,Aug,263452.0
East,Oct,366245.0
West,Jun,321581.0
West,Jul,325090.0
West,Nov,332268.0
East,Dec,340754.0
South,Jun,182402.0
East,Jul,312691.0
East,May,320590.0
South,Oct,228215.0
Central,Jul,261393.0
Central,Jan,248308.0
East,Aug,292017.0
Central,Feb,248656.0
South,May,216233.0
West,May,319934.0
West,Feb,235231.0
