state,total_sales,total_customers
Alabama,57209.0,26
Arizona,318479.0,85
Arkansas,55819.0,6
California,2197013.0,546
Colorado,252471.0,61
Connecticut,80279.0,19
Delaware,81175.0,18
District of Columbia,6729.0,2
Florida,405970.0,87
Georgia,147986.0,64
Illinois,488129.0,137
Indiana,129133.0,34
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,267428.0,42
Louisiana,58059.0,25
Maryland,37983.0,11
Massachusetts,135607.0,40
Michigan,224020.0,49
Minnesota,175075.0,34
Mississippi,62188.0,16
Missouri,71272.0,24
Nebraska,3271.0,5
Nevada,18341.0,14
New Hampshire,26340.0,9
New Jersey,178795.0,39
New Mexico,7401.0,9
New York,1105144.0,297
North Carolina,317615.0,99
Ohio,540915.0,137
Oklahoma,40550.0,9
Oregon,35846.0,5
Pennsylvania,601483.0,158
Rhode Island,58340.0,13
South Dakota,2397.0,4
Tennessee,174036.0,47
Texas,1082322.0,272
Utah,78643.0,23
Virginia,239433.0,58
Washington,505221.0,143
Wisconsin,83634.0,30
