region,month_name,total_sales
South,Mar,181570.0
South,Jan,156381.0
East,Apr,253485.0
East,Nov,238570.0
Central,May,198630.0
East,Mar,247454.0
Central,Oct,184109.0
South,Nov,154291.0
Central,Apr,205184.0
South,Jul,107024.0
Central,Mar,222285.0
East,Jan,262447.0
West,Apr,255256.0
East,Sep,223560.0
South,Sep,157198.0
West,Aug,224254.0
Central,Nov,180223.0
South,Feb,158041.0
West,Mar,253627.0
South,Dec,175488.0
East,Feb,235475.0
West,Dec,296543.0
West,Sep,239776.0
Central,Sep,187117.0
South,Aug,150849.0
East,Jun,217793.0
West,Jan,267903.0
South,Apr,146250.0
Central,Dec,193628.0
West,Oct,252263.0
Central,Jun,181666.0
Central,Aug,199093.0
East,Oct,301709.0
West,Jun,261263.0
West,Jul,257456.0
West,Nov,253830.0
East,Dec,257962.0
South,Jun,135761.0
East,Jul,233230.0
East,May,248621.0
South,Oct,179277.0
Central,Jul,201031.0
Central,Jan,185734.0
East,Aug,238027.0
Central,Feb,196075.0
South,May,170759.0
West,May,236994.0
West,Feb,176802.0
