region,month_name,total_sales
South,Mar,243042.0
South,Jan,221422.0
East,Apr,381042.0
East,Nov,339689.0
Central,May,277417.0
East,Mar,357661.0
Central,Oct,274254.0
South,Nov,233743.0
Central,Apr,293773.0
South,Jul,166654.0
Central,Mar,312317.0
East,Jan,363590.0
West,Apr,378960.0
East,Sep,330459.0
South,Sep,212643.0
West,Aug,327723.0
Central,Nov,263677.0
South,Feb,215024.0
West,Mar,359084.0
South,Dec,237899.0
East,Feb,367993.0
West,Dec,437752.0
West,Sep,366536.0
Central,Sep,260303.0
South,Aug,208480.0
East,Jun,318795.0
West,Jan,402742.0
South,Apr,242623.0
Central,Dec,302727.0
West,Oct,372270.0
Central,Jun,262042.0
Central,Aug,299684.0
East,Oct,411970.0
West,Jun,362420.0
West,Jul,367380.0
West,Nov,375077.0
East,Dec,379334.0
South,Jun,229099.0
East,Jul,373905.0
East,May,360731.0
South,Oct,253440.0
Central,Jul,296252.0
Central,Jan,289571.0
East,Aug,331965.0
Central,Feb,294831.0
South,May,253373.0
West,May,364971.0
West,Feb,277248.0
