region,month_name,total_sales
South,Mar,206955.0
South,Jan,188368.0
East,Apr,316761.0
East,Nov,286782.0
Central,May,232597.0
East,Mar,291968.0
Central,Oct,218497.0
South,Nov,189264.0
Central,Apr,244103.0
South,Jul,132518.0
Central,Mar,257952.0
East,Jan,304813.0
West,Apr,319097.0
East,Sep,275542.0
South,Sep,184280.0
West,Aug,275619.0
Central,Nov,212019.0
South,Feb,179059.0
West,Mar,300096.0
South,Dec,201353.0
East,Feb,293537.0
West,Dec,378133.0
West,Sep,298175.0
Central,Sep,212419.0
South,Aug,182689.0
East,Jun,273905.0
West,Jan,332229.0
South,Apr,194738.0
Central,Dec,240361.0
West,Oct,303858.0
Central,Jun,218042.0
Central,Aug,252702.0
East,Oct,350034.0
West,Jun,307357.0
West,Jul,312161.0
West,Nov,323742.0
East,Dec,325508.0
South,Jun,175929.0
East,Jul,292649.0
East,May,302430.0
South,Oct,216412.0
Central,Jul,236437.0
Central,Jan,230214.0
East,Aug,274239.0
Central,Feb,240434.0
South,May,208493.0
West,May,296523.0
West,Feb,225435.0
