state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,177,1
Alabama,Binders,143,2
Alabama,Furnishings,104,3
Alabama,Art,98,4
Alabama,Accessories,94,5
Alabama,Storage,83,6
Alabama,Phones,77,7
Alabama,Chairs,58,8
Alabama,Envelopes,49,9
Alabama,Appliances,38,10
Alabama,Tables,32,11
Alabama,Labels,30,12
Alabama,Machines,29,13
Alabama,Bookcases,28,14
Alabama,Supplies,25,15
Alabama,Fasteners,20,16
Alabama,Copiers,8,17
Arizona,Paper,550,1
Arizona,Binders,476,2
Arizona,Furnishings,422,3
Arizona,Phones,398,4
Arizona,Art,329,5
Arizona,Accessories,323,6
Arizona,Storage,289,7
Arizona,Appliances,223,8
Arizona,Chairs,209,9
Arizona,Labels,168,10
Arizona,Envelopes,134,11
Arizona,Bookcases,133,12
Arizona,Machines,130,13
Arizona,Tables,130,13
Arizona,Fasteners,67,15
Arizona,Supplies,63,16
Arizona,Copiers,31,17
Arkansas,Furnishings,65,1
Arkansas,Phones,63,2
Arkansas,Art,55,3
Arkansas,Paper,44,4
Arkansas,Binders,40,5
Arkansas,Storage,27,6
Arkansas,Appliances,25,7
Arkansas,Fasteners,23,8
Arkansas,Accessories,20,9
Arkansas,Labels,18,10
Arkansas,Tables,15,11
Arkansas,Machines,15,11
Arkansas,Chairs,13,13
Arkansas,Envelopes,4,14
California,Paper,4038,1
California,Binders,3091,2
California,Phones,2782,3
California,Art,2593,4
California,Furnishings,2474,5
California,Accessories,2173,6
California,Storage,1945,7
California,Appliances,1571,8
California,Chairs,1266,9
California,Machines,1106,10
California,Labels,1076,11
California,Tables,813,12
California,Envelopes,798,13
California,Bookcases,794,14
California,Supplies,611,15
California,Fasteners,578,16
California,Copiers,199,17
Colorado,Binders,491,1
Colorado,Paper,479,2
Colorado,Furnishings,354,3
Colorado,Art,332,4
Colorado,Phones,332,4
Colorado,Storage,282,6
Colorado,Accessories,253,7
Colorado,Chairs,189,8
Colorado,Appliances,175,9
Colorado,Machines,140,10
Colorado,Labels,136,11
Colorado,Bookcases,114,12
Colorado,Tables,109,13
Colorado,Supplies,108,14
Colorado,Envelopes,106,15
Colorado,Fasteners,51,16
Colorado,Copiers,17,17
Connecticut,Paper,106,1
Connecticut,Binders,104,2
Connecticut,Furnishings,97,3
Connecticut,Art,86,4
Connecticut,Phones,85,5
Connecticut,Accessories,73,6
Connecticut,Storage,70,7
Connecticut,Appliances,65,8
Connecticut,Labels,48,9
Connecticut,Machines,44,10
Connecticut,Chairs,31,11
Connecticut,Envelopes,25,12
Connecticut,Supplies,24,13
Connecticut,Fasteners,23,14
Connecticut,Bookcases,22,15
Connecticut,Tables,21,16
Connecticut,Copiers,2,17
Delaware,Storage,159,1
Delaware,Furnishings,158,2
Delaware,Paper,117,3
Delaware,Phones,88,4
Delaware,Binders,86,5
Delaware,Accessories,86,5
Delaware,Appliances,74,7
Delaware,Machines,67,8
Delaware,Art,67,8
Delaware,Chairs,61,10
Delaware,Envelopes,41,11
Delaware,Labels,39,12
Delaware,Bookcases,39,12
Delaware,Supplies,28,14
Delaware,Tables,19,15
Delaware,Fasteners,19,15
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Art,9,5
District of Columbia,Machines,7,6
District of Columbia,Fasteners,7,6
District of Columbia,Accessories,6,8
District of Columbia,Chairs,5,9
District of Columbia,Phones,5,9
District of Columbia,Envelopes,3,11
District of Columbia,Appliances,2,12
Florida,Paper,805,1
Florida,Binders,621,2
Florida,Art,493,3
Florida,Phones,479,4
Florida,Furnishings,421,5
Florida,Accessories,405,6
Florida,Storage,355,7
Florida,Chairs,261,8
Florida,Appliances,249,9
Florida,Labels,197,10
Florida,Tables,178,11
Florida,Machines,146,12
Florida,Fasteners,132,13
Florida,Envelopes,121,14
Florida,Bookcases,110,15
Florida,Supplies,106,16
Florida,Copiers,27,17
Georgia,Paper,336,1
Georgia,Binders,289,2
Georgia,Phones,270,3
Georgia,Furnishings,246,4
Georgia,Art,169,5
Georgia,Appliances,149,6
Georgia,Chairs,140,7
Georgia,Storage,127,8
Georgia,Accessories,109,9
Georgia,Tables,90,10
Georgia,Bookcases,87,11
Georgia,Labels,78,12
Georgia,Machines,70,13
Georgia,Envelopes,57,14
Georgia,Fasteners,41,15
Georgia,Supplies,38,16
Georgia,Copiers,9,17
Illinois,Paper,967,1
Illinois,Binders,734,2
Illinois,Furnishings,716,3
Illinois,Phones,714,4
Illinois,Art,495,5
Illinois,Accessories,467,6
Illinois,Storage,466,7
Illinois,Appliances,403,8
Illinois,Chairs,363,9
Illinois,Machines,259,10
Illinois,Labels,249,11
Illinois,Tables,229,12
Illinois,Envelopes,218,13
Illinois,Bookcases,175,14
Illinois,Fasteners,132,15
Illinois,Supplies,125,16
Illinois,Copiers,40,17
Indiana,Paper,218,1
Indiana,Binders,181,2
Indiana,Phones,149,3
Indiana,Accessories,141,4
Indiana,Furnishings,139,5
Indiana,Art,136,6
Indiana,Storage,111,7
Indiana,Appliances,85,8
Indiana,Chairs,77,9
Indiana,Labels,58,10
Indiana,Bookcases,56,11
Indiana,Supplies,45,12
Indiana,Machines,40,13
Indiana,Envelopes,37,14
Indiana,Tables,24,15
Indiana,Fasteners,18,16
Indiana,Copiers,10,17
Iowa,Accessories,58,1
Iowa,Phones,48,2
Iowa,Paper,45,3
Iowa,Chairs,36,4
Iowa,Art,34,5
Iowa,Furnishings,27,6
Iowa,Storage,27,6
Iowa,Machines,25,8
Iowa,Binders,20,9
Iowa,Labels,11,10
Iowa,Appliances,10,11
Iowa,Fasteners,5,12
Iowa,Tables,5,12
Iowa,Supplies,3,14
Iowa,Envelopes,2,15
Kansas,Paper,85,1
Kansas,Art,61,2
Kansas,Chairs,44,3
Kansas,Phones,34,4
Kansas,Accessories,26,5
Kansas,Appliances,24,6
Kansas,Binders,23,7
Kansas,Fasteners,23,7
Kansas,Furnishings,20,9
Kansas,Tables,14,10
Kansas,Labels,14,10
