state,total_sales,total_customers
Alabama,107857.0,86
Arizona,470343.0,219
Arkansas,63860.0,15
California,3215117.0,1531
Colorado,383140.0,185
Connecticut,111773.0,54
Delaware,125390.0,62
District of Columbia,9406.0,6
Florida,547232.0,237
Georgia,270922.0,163
Illinois,812303.0,389
Indiana,188838.0,97
Iowa,48483.0,34
Kansas,40053.0,8
Kentucky,388910.0,120
Louisiana,89643.0,57
Maryland,50032.0,27
Massachusetts,200503.0,100
Michigan,350784.0,142
Minnesota,286807.0,124
Mississippi,88460.0,45
Missouri,102635.0,58
Nebraska,10644.0,13
Nevada,29258.0,23
New Hampshire,35787.0,22
New Jersey,242159.0,102
New Mexico,23132.0,30
New York,1727346.0,825
North Carolina,485104.0,272
Ohio,766775.0,350
Oklahoma,68446.0,30
Oregon,60740.0,21
Pennsylvania,919894.0,469
Rhode Island,85961.0,37
South Dakota,19109.0,9
Tennessee,233809.0,113
Texas,1557024.0,715
Utah,123969.0,57
Virginia,307814.0,139
Washington,736657.0,370
Wisconsin,116852.0,70
