region,month_name,total_sales
South,Mar,153792.0
Central,Sep,164721.0
South,Aug,132823.0
South,Jan,135626.0
East,Jun,181093.0
West,Jan,232568.0
South,Apr,123356.0
East,Apr,209343.0
East,Nov,212507.0
Central,Dec,163983.0
West,Oct,226639.0
Central,May,179564.0
Central,Jun,158808.0
East,Mar,204973.0
Central,Aug,165904.0
East,Oct,255630.0
Central,Oct,164671.0
South,Nov,133759.0
West,Jun,202959.0
Central,Apr,182192.0
South,Jul,95681.0
West,Jul,215892.0
West,Nov,229057.0
Central,Mar,206095.0
East,Jan,224225.0
West,Apr,211819.0
East,Sep,197185.0
East,Dec,226769.0
South,Jun,121778.0
East,Jul,197764.0
East,May,213941.0
South,Sep,134477.0
West,Aug,197788.0
South,Oct,161304.0
Central,Jul,169782.0
Central,Jan,158119.0
East,Aug,209740.0
Central,Nov,155101.0
South,Feb,147006.0
West,Mar,214003.0
Central,Feb,175815.0
South,Dec,155161.0
East,Feb,205371.0
South,May,153921.0
West,Dec,268585.0
West,Sep,192519.0
West,May,197267.0
West,Feb,158607.0
