segment,month_name,total_sales,total_profit
Corporate,Oct,285504.0,49865.0
Home Office,Jul,162259.0,29514.0
Consumer,Jul,407272.0,73182.0
Corporate,Mar,257552.0,43535.0
Consumer,Nov,384566.0,67042.0
Home Office,Aug,137159.0,23891.0
Consumer,Aug,429995.0,78405.0
Corporate,Aug,249810.0,43061.0
Home Office,Apr,141905.0,24671.0
Consumer,Jun,407011.0,72673.0
Consumer,May,431328.0,76283.0
Home Office,Sep,123478.0,22077.0
Corporate,Jul,234272.0,42756.0
Corporate,Dec,302818.0,52816.0
Corporate,May,284345.0,49769.0
Corporate,Apr,279563.0,47639.0
Home Office,May,145851.0,26647.0
Home Office,Jan,150989.0,27896.0
Home Office,Jun,137127.0,25947.0
Consumer,Sep,434699.0,75341.0
Home Office,Mar,168506.0,26909.0
Consumer,Apr,441789.0,78598.0
Home Office,Nov,154051.0,26858.0
Home Office,Oct,174535.0,30547.0
Consumer,Dec,465588.0,83446.0
Corporate,Nov,290814.0,48013.0
Corporate,Sep,252380.0,45144.0
Corporate,Feb,255026.0,42060.0
Home Office,Feb,132343.0,23752.0
Consumer,Mar,480980.0,86227.0
Consumer,Oct,461064.0,81893.0
Corporate,Jan,318989.0,53695.0
Consumer,Jan,406010.0,71818.0
Corporate,Jun,262514.0,47259.0
Home Office,Dec,160837.0,26387.0
Consumer,Feb,381586.0,70346.0
