state,total_sales,total_customers
Alabama,67203.0,39
Arizona,341420.0,114
Arkansas,57876.0,7
California,2358770.0,706
Colorado,269249.0,81
Connecticut,83139.0,25
Delaware,86877.0,26
District of Columbia,7388.0,3
Florida,447213.0,124
Georgia,166246.0,80
Illinois,536920.0,182
Indiana,134494.0,43
Iowa,29661.0,18
Kansas,37564.0,5
Kentucky,291706.0,55
Louisiana,62594.0,28
Maryland,41327.0,15
Massachusetts,157756.0,53
Michigan,248306.0,66
Minnesota,197114.0,48
Mississippi,63908.0,19
Missouri,76456.0,28
Nebraska,6313.0,8
Nevada,25100.0,16
New Hampshire,27303.0,11
New Jersey,189721.0,51
New Mexico,9716.0,13
New York,1226611.0,382
North Carolina,357224.0,137
Ohio,570452.0,174
Oklahoma,45216.0,13
Oregon,38623.0,8
Pennsylvania,653158.0,209
Rhode Island,58870.0,15
South Dakota,4821.0,5
Tennessee,192385.0,62
Texas,1162242.0,355
Utah,83144.0,28
Virginia,249847.0,71
Washington,560933.0,186
Wisconsin,86094.0,34
