region,month_name,total_sales
South,Mar,217213.0
South,Jan,207133.0
East,Apr,345605.0
East,Nov,309026.0
Central,May,255513.0
East,Mar,315120.0
Central,Oct,243799.0
South,Nov,205398.0
Central,Apr,255351.0
South,Jul,142912.0
Central,Mar,282203.0
East,Jan,326179.0
West,Apr,351156.0
East,Sep,301413.0
South,Sep,198174.0
West,Aug,297409.0
Central,Nov,230292.0
South,Feb,194699.0
West,Mar,331080.0
South,Dec,221917.0
East,Feb,319774.0
West,Dec,410386.0
West,Sep,326666.0
Central,Sep,228917.0
South,Aug,196576.0
East,Jun,292961.0
West,Jan,361679.0
South,Apr,213860.0
Central,Dec,263672.0
West,Oct,332283.0
Central,Jun,236632.0
Central,Aug,271747.0
East,Oct,373753.0
West,Jun,330876.0
West,Jul,335421.0
West,Nov,341578.0
East,Dec,354212.0
South,Jun,196509.0
East,Jul,321425.0
East,May,337595.0
South,Oct,232420.0
Central,Jul,269833.0
Central,Jan,254413.0
East,Aug,301704.0
Central,Feb,254677.0
South,May,225546.0
West,May,329226.0
West,Feb,244448.0
