region,month_name,total_sales
South,Mar,240786.0
South,Jan,217899.0
East,Apr,376765.0
East,Nov,332856.0
Central,May,272184.0
East,Mar,342526.0
Central,Oct,270627.0
South,Nov,227990.0
Central,Apr,285638.0
South,Jul,161413.0
Central,Mar,309275.0
East,Jan,358475.0
West,Apr,370988.0
East,Sep,320629.0
South,Sep,209412.0
West,Aug,319874.0
Central,Nov,259389.0
South,Feb,212807.0
West,Mar,352104.0
South,Dec,235928.0
East,Feb,354697.0
West,Dec,428861.0
West,Sep,362706.0
Central,Sep,254090.0
South,Aug,206253.0
East,Jun,315301.0
West,Jan,394560.0
South,Apr,226600.0
Central,Dec,288933.0
West,Oct,367216.0
Central,Jun,256579.0
Central,Aug,293884.0
East,Oct,409290.0
West,Jun,353363.0
West,Jul,360191.0
West,Nov,365956.0
East,Dec,373712.0
South,Jun,211239.0
East,Jul,360685.0
East,May,356776.0
South,Oct,251337.0
Central,Jul,288807.0
Central,Jan,285082.0
East,Aug,324849.0
Central,Feb,289334.0
South,May,245481.0
West,May,357203.0
West,Feb,271622.0
