category,month,total_sales,total_profit
Furniture,Sep,244398.0,42427.0
Furniture,Oct,227333.0,41061.0
Furniture,Mar,269466.0,49320.0
Office Supplies,Feb,626871.0,111758.0
Technology,Jul,245802.0,42572.0
Office Supplies,Dec,701503.0,121754.0
Furniture,Aug,224973.0,41123.0
Office Supplies,Jul,633299.0,114908.0
Office Supplies,Jun,607550.0,110929.0
Technology,Sep,217228.0,39366.0
Technology,Dec,298740.0,53362.0
Technology,Jun,250984.0,45918.0
Office Supplies,Jan,702149.0,121424.0
Technology,Aug,224152.0,39522.0
Technology,Oct,272019.0,46432.0
Technology,Jan,239117.0,42829.0
Office Supplies,Mar,687097.0,116147.0
Office Supplies,Aug,625381.0,109754.0
Office Supplies,Sep,609488.0,108306.0
Office Supplies,Oct,691802.0,121599.0
Furniture,Nov,211687.0,36487.0
Office Supplies,Nov,622095.0,105328.0
Technology,May,223973.0,38115.0
Furniture,Feb,186436.0,34816.0
Office Supplies,Apr,649026.0,113596.0
Furniture,Jan,220620.0,38715.0
Furniture,Jun,207281.0,36170.0
Technology,Nov,256338.0,46054.0
Technology,Mar,198773.0,34315.0
Technology,Feb,209200.0,34333.0
Furniture,Apr,230303.0,41028.0
Technology,Apr,299202.0,50957.0
Furniture,Dec,258988.0,47348.0
Office Supplies,May,713573.0,127944.0
Furniture,Jul,199396.0,35002.0
Furniture,May,219436.0,40548.0
