category,month,total_sales,total_profit
Furniture,Sep,167656.0,27697.0
Furniture,Oct,159769.0,29839.0
Furniture,Mar,195900.0,36141.0
Office Supplies,Feb,440535.0,77579.0
Technology,Jul,160242.0,28255.0
Office Supplies,Dec,494881.0,85830.0
Furniture,Aug,155331.0,27920.0
Office Supplies,Jul,411015.0,75491.0
Office Supplies,Jun,388311.0,70221.0
Technology,Sep,137360.0,24844.0
Technology,Dec,183417.0,31752.0
Technology,Jun,177525.0,32516.0
Office Supplies,Jan,458259.0,80619.0
Technology,Aug,159826.0,27870.0
Technology,Oct,198489.0,32760.0
Technology,Jan,162598.0,30053.0
Office Supplies,Mar,474428.0,79481.0
Office Supplies,Aug,417676.0,74729.0
Office Supplies,Sep,406544.0,71187.0
Office Supplies,Oct,476937.0,83991.0
Furniture,Nov,155258.0,25981.0
Office Supplies,Nov,412246.0,69133.0
Technology,May,156347.0,26051.0
Furniture,Feb,125337.0,23641.0
Office Supplies,Apr,405916.0,70403.0
Furniture,Jan,149410.0,26100.0
Furniture,Jun,115013.0,19844.0
Technology,Nov,179789.0,31345.0
Technology,Mar,142938.0,24611.0
Technology,Feb,139750.0,23590.0
Furniture,Apr,161126.0,28107.0
Technology,Apr,181275.0,30432.0
Furniture,Dec,156658.0,28224.0
Office Supplies,May,464396.0,82832.0
Furniture,Jul,125692.0,22052.0
Furniture,May,150993.0,28431.0
