region,month_name,total_sales
South,Mar,196554.0
South,Jan,181856.0
East,Apr,307212.0
East,Nov,281672.0
Central,May,226332.0
East,Mar,285302.0
Central,Oct,211321.0
South,Nov,177365.0
Central,Apr,228303.0
South,Jul,126320.0
Central,Mar,251987.0
East,Jan,295938.0
West,Apr,313139.0
East,Sep,254954.0
South,Sep,177149.0
West,Aug,257575.0
Central,Nov,203747.0
South,Feb,173757.0
West,Mar,287549.0
South,Dec,194852.0
East,Feb,272328.0
West,Dec,369796.0
West,Sep,287761.0
Central,Sep,206077.0
South,Aug,172824.0
East,Jun,266616.0
West,Jan,319338.0
South,Apr,168894.0
Central,Dec,234284.0
West,Oct,291780.0
Central,Jun,210991.0
Central,Aug,240266.0
East,Oct,342488.0
West,Jun,294573.0
West,Jul,299926.0
West,Nov,305339.0
East,Dec,311726.0
South,Jun,171708.0
East,Jul,285733.0
East,May,294198.0
South,Oct,209584.0
Central,Jul,228911.0
Central,Jan,217418.0
East,Aug,266938.0
Central,Feb,233327.0
South,May,201573.0
West,May,284417.0
West,Feb,204669.0
