segment,month_name,total_sales,total_profit
Corporate,Oct,344131.0,60208.0
Home Office,Jul,215486.0,39624.0
Consumer,Jul,505699.0,89018.0
Corporate,Mar,300413.0,51029.0
Consumer,Nov,488487.0,83989.0
Home Office,Aug,184390.0,33259.0
Consumer,Aug,531267.0,95229.0
Corporate,Aug,297014.0,51296.0
Home Office,Apr,194814.0,34157.0
Consumer,Jun,505973.0,90939.0
Consumer,May,543576.0,96355.0
Home Office,Sep,168101.0,29553.0
Corporate,Jul,289331.0,52224.0
Corporate,Dec,371251.0,64112.0
Corporate,May,329176.0,57898.0
Corporate,Apr,331371.0,56817.0
Home Office,May,197579.0,36425.0
Home Office,Jan,192892.0,35775.0
Home Office,Jun,172979.0,31838.0
Consumer,Sep,539191.0,95606.0
Home Office,Mar,207435.0,33751.0
Consumer,Apr,586125.0,103119.0
Home Office,Nov,192579.0,33878.0
Home Office,Oct,211283.0,37225.0
Consumer,Dec,599787.0,108498.0
Corporate,Nov,357640.0,61499.0
Corporate,Sep,295637.0,52491.0
Corporate,Feb,307973.0,50677.0
Home Office,Feb,161815.0,29198.0
Consumer,Mar,577474.0,102160.0
Consumer,Oct,564746.0,100348.0
Corporate,Jan,390281.0,65902.0
Consumer,Jan,510049.0,89606.0
Corporate,Jun,324067.0,58528.0
Home Office,Dec,208191.0,35746.0
Consumer,Feb,488753.0,89281.0
